X,author,title,type,start,end,kind,words
469,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5405,5503,NA,"She then fastened to the aircar two
winglike blades which she said were worked by electricity"
470,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5505,5625,NA,"After we were
comfortably seated she touched a knob and the blades began to whirl moving
faster and faster every moment"
471,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5627,5712,NA,"At first we were raised to the height of about six
or seven feet and then off we flew"
472,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5714,5805,NA,"And before I could realize that we had
commenced moving we reached the garden of the Queen"
473,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5807,5951,NA,"My friend lowered the aircar by reversing the action of the machine and when
the car touched the ground the machine was stopped and we got out"
474,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,5953,6089,NA,"I had seen from the aircar the Queen walking on a garden path with her little
daughter who was four years old and her maids of honour"
475,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6091,6097,NA,Halloo
476,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6099,6107,NA,You here
477,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6109,6147,NA,cried the Queen addressing Sister Sara
478,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6149,6242,NA,"I was introduced to
Her Royal Highness and was received by her cordially without any ceremony"
479,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6244,6294,NA,I was very much delighted to make her acquaintance
480,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6296,6446,NA,"In the course of the
conversation I had with her the Queen told me that she had no objection to
permitting her subjects to trade with other countries"
481,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6448,6585,NA,But she continued no trade was possible with countries where the women were kept in the zenanas and so unable to come and trade with us
482,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6587,6667,NA,Men we find are rather of lower morals and so we do not like dealing with them
483,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6669,6850,NA,"We do not covet other peoples land we do not
fight for a piece of diamond though it may be a thousandfold brighter than the
KohiNoor nor do we grudge a ruler his Peacock Throne"
484,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6852,6969,NA,"We dive deep into the
ocean of knowledge and try to find out the precious gems which nature has kept
in store for us"
485,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,6971,7011,NA,We enjoy natures gifts as much as we can
486,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,7013,7154,NA,"After taking leave of the Queen I visited the famous universities and was shown
some of their manufactories laboratories and observatories"
487,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,7156,7363,NA,"After visiting the above places of interest we got again into the aircar but as soon
as it began moving I somehow slipped down and the fall startled me out of my



Sultanas Dream

Page No  14

dream"
488,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,7365,7454,NA,"And on opening my eyes I found myself in my own bedroom still
lounging in the easychair"
4235,"More, Thomas, Saint",Utopia,sentence,3184,3525,NA,If by the Mosaical law though it was rough and severe as being a yoke laid on an obstinate and servile nation men were only fined and not put to death for theft we cannot imagine that in this new law of mercy in which God treats us with the tenderness of a father He has given us a greater licence to cruelty than He did to the Jews
4197,"More, Thomas, Saint",Utopia,sentence,3189,3263,NA,But France has learned to its cost how dangerous it is to feed such beasts
4406,"More, Thomas, Saint",Utopia,sentence,3190,3442,NA,Every city sends three of their wisest senators once a year to Amaurot to consult about their common concerns for that is the chief town of the island being situated near the centre of it so that it is the most convenient place for their assemblies
4152,"More, Thomas, Saint",Utopia,sentence,3192,3254,NA,The change of the word said he does not alter the matter
4206,"More, Thomas, Saint",Utopia,entity,3193,3198,location,France
4014,"More, Thomas, Saint",Utopia,sentence,3222,3306,NA,In the year 1515 Wolsey Archbishop of York was made Cardinal by Leo X Henry VIII
4489,"More, Thomas, Saint",Utopia,sentence,3229,3764,NA,But among the Utopians all things are so regulated that men very seldom build upon a new piece of ground and are not only very quick in repairing their houses but show their foresight in preventing their decay so that their buildings are preserved very long with but very little labour and thus the builders to whom that care belongs are often without employment except the hewing of timber and the squaring of stones that the materials may be in readiness for raising a building very suddenly when there is any occasion for it
4805,"More, Thomas, Saint",Utopia,sentence,3232,3463,NA,They never lay their enemies country waste nor burn their corn and even in their marches they take all possible care that neither horse nor foot may tread it down for they do not know but that they may have use for it themselves
4876,"More, Thomas, Saint",Utopia,sentence,3232,3566,NA,And they intermingle them so that the younger and the older may be set by one another for if the younger sort were all set together they would perhaps trifle away that time too much in which they ought to beget in themselves that religious dread of the Supreme Being which is the greatest and almost the only incitement to virtue
4556,"More, Thomas, Saint",Utopia,sentence,3240,3467,NA,If they should work it into vessels or any sort of plate they fear that the people might grow too fond of it and so be unwilling to let the plate be run down if a war made it necessary to employ it in paying their soldiers
4787,"More, Thomas, Saint",Utopia,sentence,3255,4504,NA,They also place together those who are related parents and children kindred and those that are mutually allied near one another that those whom nature has inspired with the greatest zeal for assisting one another may be the nearest and readiest to do it and it is matter of great reproach if husband or wife survive one another or if a child survives his parent and therefore when they come to be engaged in action they continue to fight to the last man if their enemies stand before them and as they use all prudent methods to avoid the endangering their own men and if it is possible let all the action and danger fall upon the troops that they hire so if it becomes necessary for themselves to engage they then charge with as much courage as they avoided it before with prudence nor is it a fierce charge at first but it increases by degrees and as they continue in action they grow more obstinate and press harder upon the enemy insomuch that they will much sooner die than give ground for the certainty that their children will be well looked after when they are dead frees them from all that anxiety concerning them which often masters men of great courage and thus they are animated by a noble and invincible resolution
4678,"More, Thomas, Saint",Utopia,sentence,3256,3405,NA,As for the poets they have Aristophanes Homer Euripides and Sophocles of Alduss edition and for historians Thucydides Herodotus and Herodian
4153,"More, Thomas, Saint",Utopia,sentence,3257,3462,NA,But term it as you will replied Peter I do not see any other way in which you can be so useful both in private to your friends and to the public and by which you can make your own condition happier
4064,"More, Thomas, Saint",Utopia,entity,3261,3264,location,York
4851,"More, Thomas, Saint",Utopia,sentence,3261,3685,NA,Of these there are two sorts some live unmarried and chaste and abstain from eating any sort of flesh and thus weaning themselves from all the pleasures of the present life which they account hurtful they pursue even by the hardest and painfullest methods possible that blessedness which they hope for hereafter and the nearer they approach to it they are the more cheerful and earnest in their endeavours after it
4198,"More, Thomas, Saint",Utopia,sentence,3266,3670,NA,The fate of the Romans Carthaginians and Syrians and many other nations and cities which were both overturned and quite ruined by those standing armies should make others wiser and the folly of this maxim of the French appears plainly even from this that their trained soldiers often find your raw men prove too hard for them of which I will not say much lest you may think I flatter the English
4254,"More, Thomas, Saint",Utopia,sentence,3279,3534,NA,Those that discover it are rewardedif freemen in money and if slaves with liberty together with a pardon for being accessory to it that so they might find their account rather in repenting of their engaging in such a design than in persisting in it
4045,"More, Thomas, Saint",Utopia,entity,3288,3293,person,Leo X
4769,"More, Thomas, Saint",Utopia,sentence,3290,3508,NA,But as they keep their gold and silver only for such an occasion so when that offers itself they easily part with it since it would be no convenience to them though they should reserve nothing of it to themselves
4165,"More, Thomas, Saint",Utopia,entity,3292,3296,person,Peter
4620,"More, Thomas, Saint",Utopia,sentence,3294,3496,NA,Or can it be thought that they who heap up a useless mass of wealth not for any use that it is to bring them but merely to please themselves with the contemplation of it enjoy any true pleasure in it
4046,"More, Thomas, Saint",Utopia,entity,3296,3305,person,Henry VIII
4662,"More, Thomas, Saint",Utopia,sentence,3296,3756,NA,But they think it madness for a man to wear out the beauty of his face or the force of his natural strength to corrupt the sprightliness of his body by sloth and laziness or to waste it by fasting that it is madness to weaken the strength of his constitution and reject the other delights of life unless by renouncing his own satisfaction he can either serve the public or promote the happiness of others for which he expects a greater recompense from God
4709,"More, Thomas, Saint",Utopia,sentence,3298,4006,NA,They punish severely those that defile the marriage bed if both parties are married they are divorced and the injured persons may marry one another or whom they please but the adulterer and the adulteress are condemned to slavery yet if either of the injured persons cannot shake off the love of the married person they may live with them still in that state but they must follow them to that labour to which the slaves are condemned and sometimes the repentance of the condemned together with the unshaken kindness of the innocent and injured person has prevailed so far with the Prince that he has taken off the sentence but those that relapse after they are once pardoned are punished with death
4684,"More, Thomas, Saint",Utopia,entity,3305,3313,person,Euripides
4015,"More, Thomas, Saint",Utopia,sentence,3308,3453,NA,made him Lord Chancellor and from that year until 1523 the King and the Cardinal ruled England with absolute authority and called no parliament
4366,"More, Thomas, Saint",Utopia,entity,3310,3314,person,Plato
4268,"More, Thomas, Saint",Utopia,sentence,3314,3395,NA,The Cardinal smiled and approved of it in jest but the rest liked it in earnest
4047,"More, Thomas, Saint",Utopia,entity,3317,3331,person,Lord Chancellor
4586,"More, Thomas, Saint",Utopia,sentence,3320,3382,NA,They inquire likewise into the nature of virtue and pleasure
4308,"More, Thomas, Saint",Utopia,sentence,3321,3644,NA,Another proposes a pretence of a war that money might be raised in order to carry it on and that a peace be concluded as soon as that was done and this with such appearances of religion as might work on the people and make them impute it to the piety of their prince and to his tenderness for the lives of his subjects
4287,"More, Thomas, Saint",Utopia,sentence,3352,3872,NA,For instance what could I signify if I were about the King of France and were called into his cabinet council where several wise men in his hearing were proposing many expedients as by what arts and practices Milan may be kept and Naples that has so often slipped out of their hands recovered how the Venetians and after them the rest of Italy may be subdued and then how Flanders Brabant and all Burgundy and some other kingdoms which he has swallowed already in his designs may be added to his empire
4478,"More, Thomas, Saint",Utopia,sentence,3363,3547,NA,After supper they spend an hour in some diversion in summer in their gardens and in winter in the halls where they eat where they entertain each other either with music or discourse
4903,"More, Thomas, Saint",Utopia,sentence,3366,4100,NA,But in order to the apprehending this aright take one instance  Consider any year that has been so unfruitful that many thousands have died of hunger and yet if at the end of that year a survey was made of the granaries of all the rich men that have hoarded up the corn it would be found that there was enough among them to have prevented all that consumption of men that perished in misery and that if it had been distributed among them none would have felt the terrible effects of that scarcity so easy a thing would it be to supply all the necessities of life if that blessed thing called money which is pretended to be invented for procuring them was not really the only thing that obstructed their being procured
4727,"More, Thomas, Saint",Utopia,sentence,3372,4156,NA,They have no lawyers among them for they consider them as a sort of people whose profession it is to disguise matters and to wrest the laws and therefore they think it is much better that every man should plead his own cause and trust it to the judge as in other places the client trusts it to a counsellor by this means they both cut off many delays and find out truth more certainly for after the parties have laid open the merits of the cause without those artifices which lawyers are apt to suggest the judge examines the whole matter and supports the simplicity of such wellmeaning persons whom otherwise crafty men would be sure to run down and thus they avoid those evils which appear very remarkably among all those nations that labour under a vast load of laws
4461,"More, Thomas, Saint",Utopia,sentence,3375,3472,NA,There are always two Syphogrants called into the council chamber and these are changed every day
4503,"More, Thomas, Saint",Utopia,sentence,3380,3603,NA,But to return to their manner of living in society the oldest man of every family as has been already said is its governor wives serve their husbands and children their parents and always the younger serves the elder
4587,"More, Thomas, Saint",Utopia,sentence,3385,3516,NA,But their chief dispute is concerning the happiness of a man and wherein it consistswhether in some one thing or in a great many
4092,"More, Thomas, Saint",Utopia,sentence,3386,3510,NA,Those that were appointed by the Prince to treat with us met us at Bruges according to agreement they were all worthy men
4175,"More, Thomas, Saint",Utopia,sentence,3390,3855,NA,One day when I was dining with him there happened to be at table one of the English lawyers who took occasion to run out in a high commendation of the severe execution of justice upon thieves who as he said were then hanged so fast that there were sometimes twenty on one gibbet and upon that he said he could not wonder enough how it came to pass that since so few escaped there were yet so many thieves left who were still robbing in all places
4065,"More, Thomas, Saint",Utopia,entity,3396,3402,location,England
4269,"More, Thomas, Saint",Utopia,sentence,3398,3874,NA,There was a divine present who though he was a grave morose man yet he was so pleased with this reflection that was made on the priests and the monks that he began to play with the Fool and said to him This will not deliver you from all beggars except you take care of us Friars  That is done already answered the Fool for the Cardinal has provided for you by what he proposed for restraining vagabonds and setting them to work for I know no vagabonds like you
4293,"More, Thomas, Saint",Utopia,entity,3407,3420,location,King of France
4329,"More, Thomas, Saint",Utopia,sentence,3407,3505,NA,He is an unskilful physician that cannot cure one disease without casting his patient into another
4679,"More, Thomas, Saint",Utopia,sentence,3408,4393,NA,One of my companions Thricius Apinatus happened to carry with him some of Hippocratess works and Galens Microtechne which they hold in great estimation for though there is no nation in the world that needs physic so little as they do yet there is not any that honours it so much they reckon the knowledge of it one of the pleasantest and most profitable parts of philosophy by which as they search into the secrets of nature so they not only find this study highly agreeable but think that such inquiries are very acceptable to the Author of nature and imagine that as He like the inventors of curious engines amongst mankind has exposed this great machine of the universe to the view of the only creatures capable of contemplating it so an exact and curious observer who admires His workmanship is much more acceptable to Him than one of the herd who like a beast incapable of reason looks on this glorious scene with the eyes of a dull and unconcerned spectator
4824,"More, Thomas, Saint",Utopia,sentence,3416,3751,NA,They have had great disputes among themselves whether one chosen by them to be a priest would not be thereby qualified to do all the things that belong to that character even though he had no authority derived from the Pope and they seemed to be resolved to choose some for that employment but they had not done it when I left them
4749,"More, Thomas, Saint",Utopia,sentence,3425,3973,NA,They think therefore it would be too severe to revenge a loss attended with so little inconvenience either to their lives or their subsistence with the death of many persons but if any of their people are either killed or wounded wrongfully whether it be done by public authority or only by private men as soon as they hear of it they send ambassadors and demand that the guilty persons may be delivered up to them and if that is denied they declare war but if it be complied with the offenders are condemned either to death or slavery
4542,"More, Thomas, Saint",Utopia,sentence,3435,3532,NA,Thus you see that there are no idle persons among them nor pretences of excusing any from labour
4736,"More, Thomas, Saint",Utopia,sentence,3438,4061,NA,By this means it is that all sort of justice passes in the world for a lowspirited and vulgar virtue far below the dignity of royal greatnessor at least there are set up two sorts of justice the one is mean and creeps on the ground and therefore becomes none but the lower part of mankind and so must be kept in severely by many restraints that it may not break out beyond the bounds that are set to it the other is the peculiar virtue of princes which as it is more majestic than that which becomes the rabble so takes a freer compass and thus lawful and unlawful are only measured by pleasure and interest
4407,"More, Thomas, Saint",Utopia,sentence,3445,3565,NA,The jurisdiction of every city extends at least twenty miles and where the towns lie wider they have much more ground
4016,"More, Thomas, Saint",Utopia,sentence,3456,3695,NA,In May of the year 1515 Thomas Morenot knighted yetwas joined in a commission to the Low Countries with Cuthbert Tunstal and others to confer with the ambassadors of Charles V then only Archduke of Austria upon a renewal of alliance
4154,"More, Thomas, Saint",Utopia,sentence,3465,3474,NA,Happier
4806,"More, Thomas, Saint",Utopia,sentence,3466,3526,NA,They hurt no man whom they find disarmed unless he is a spy
4434,"More, Thomas, Saint",Utopia,sentence,3470,3719,NA,There is a bridge cast over the river not of timber but of fair stone consisting of many stately arches it lies at that part of the town which is farthest from the sea so that the ships without any hindrance lie all along the side of the town
4557,"More, Thomas, Saint",Utopia,sentence,3470,3708,NA,To prevent all these inconveniences they have fallen upon an expedient which as it agrees with their other policy so is it very different from ours and will scarce gain belief among us who value gold so much and lay it up so carefully
4462,"More, Thomas, Saint",Utopia,sentence,3475,3657,NA,It is a fundamental rule of their government that no conclusion can be made in anything that relates to the public till it has been first debated three several days in their council
4155,"More, Thomas, Saint",Utopia,sentence,3476,3553,NA,answered Raphael is that to be compassed in a way so abhorrent to my genius
4048,"More, Thomas, Saint",Utopia,entity,3480,3495,person,Thomas Morenot
4621,"More, Thomas, Saint",Utopia,sentence,3499,3550,NA,The delight they find is only a false shadow of joy
4330,"More, Thomas, Saint",Utopia,sentence,3508,3689,NA,So he that can find no other way for correcting the errors of his people but by taking from them the conveniences of life shows that he knows not what it is to govern a free nation
4770,"More, Thomas, Saint",Utopia,sentence,3511,3803,NA,For besides the wealth that they have among them at home they have a vast treasure abroad many nations round about them being deep in their debt so that they hire soldiers from all places for carrying on their wars but chiefly from the Zapolets who live five hundred miles east of Utopia
4093,"More, Thomas, Saint",Utopia,sentence,3513,3889,NA,The Margrave of Bruges was their head and the chief man among them but he that was esteemed the wisest and that spoke for the rest was George Temse the Provost of Casselsee both art and nature had concurred to make him eloquent he was very learned in the law and as he had a great capacity so by a long practice in affairs he was very dexterous at unravelling them
4219,"More, Thomas, Saint",Utopia,sentence,3514,3592,NA,And to this last a man of a great mind is much sooner drawn than to the former
4836,"More, Thomas, Saint",Utopia,sentence,3514,3676,NA,There are many among them that run far to the other extreme though it is neither thought an ill nor unreasonable opinion and therefore is not at all discouraged
4588,"More, Thomas, Saint",Utopia,sentence,3519,4090,NA,They seem indeed more inclinable to that opinion that places if not the whole yet the chief part of a mans happiness in pleasure and what may seem more strange they make use of arguments even from religion notwithstanding its severity and roughness for the support of that opinion so indulgent to pleasure for they never dispute concerning happiness without fetching some arguments from the principles of religion as well as from natural reason since without the former they reckon that all our inquiries after happiness must be but conjectural and defective
4638,"More, Thomas, Saint",Utopia,sentence,3519,3644,NA,They look upon freedom from pain if it does not rise from perfect health to be a state of stupidity rather than of pleasure
4236,"More, Thomas, Saint",Utopia,sentence,3528,4158,NA,Upon these reasons it is that I think putting thieves to death is not lawful and it is plain and obvious that it is absurd and of ill consequence to the commonwealth that a thief and a murderer should be equally punished for if a robber sees that his danger is the same if he is convicted of theft as if he were guilty of murder this will naturally incite him to kill the person whom otherwise he would only have robbed since if the punishment is the same there is more security and less danger of discovery when he that can best make it is put out of the way so that terrifying thieves too much provokes them to cruelty
4807,"More, Thomas, Saint",Utopia,sentence,3529,4043,NA,When a town is surrendered to them they take it into their protection and when they carry a place by storm they never plunder it but put those only to the sword that oppose the rendering of it up and make the rest of the garrison slaves but for the other inhabitants they do them no hurt and if any of them had advised a surrender they give them good rewards out of the estates of those that they condemn and distribute the rest among their auxiliary troops but they themselves take no share of the spoil
