X,author,title,type,start,end,words,kind
304,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3137,3205,Of course the men had been asked to clear off when I was going there,NA
381,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3138,3251,"Most of our warriors were killed the rest driven back and the enemy came within
twentyfive miles of the capital",NA
212,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3144,3161,asked Sister Sara,NA
250,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,3150,3160,Sister Sara,person
432,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3159,3239,Sultanas Dream Page No  12 Nor do we ever suffer from flood or thunderstorms,NA
213,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3163,3236,"I continued calling her Sister Sara and she
kept calling me by my name",NA
305,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3207,3263,The kitchen was situated in a beautiful vegetable garden,NA
214,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3238,3312,Yes very much but I do not like to tread on the tender and sweet flowers,NA
433,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3241,3300,We are all very busy making nature yield as much as she can,NA
382,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3253,3372,"A meeting of a number of wise ladies was held at the Queens palace to advise as
to what should be done to save the land",NA
306,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3265,3321,Every creeper every tomato plant was itself an ornament,NA
434,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3302,3370,We do not find time to quarrel with one another as we never sit idle,NA
401,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,3306,3311,Queens,location
215,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3314,3397,Never mind dear Sultana your treading will not harm them they are street flowers,NA
307,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3323,3453,I found no smoke nor any chimney either in the kitchen  it was clean and bright the windows were decorated with flower gardens,NA
435,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3372,3488,Our noble Queen is exceedingly fond of botany it is her ambition to convert the whole country into one grand garden,NA
383,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3374,3549,"Some proposed to fight like soldiers
others objected and said that women were not trained to fight with swords and
guns nor were they accustomed to fighting with any weapons",NA
216,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3399,3453,The whole place looks like a garden said I admiringly,NA
217,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3455,3498,You have arranged every plant so skillfully,NA
308,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3455,3488,There was no sign of coal or fire,NA
309,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3490,3505,How do you cook,NA
436,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3490,3511,The idea is excellent,NA
218,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3500,3596,Your Calcutta could become a nicer garden than this if only your countrymen wanted to make it so,NA
310,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3507,3514,I asked,NA
437,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3513,3536,What is your chief food,NA
311,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3516,3636,With solar heat she said at the same time showing me the pipe through which passed the concentrated sunlight and heat,NA
438,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3538,3544,Fruits,NA
439,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3546,3594,How do you keep your country cool in hot weather,NA
384,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3551,3624,"A third party
regretfully remarked that they were hopelessly weak of body",NA
440,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3596,3654,We regard the rainfall in summer as a blessing from heaven,NA
219,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3598,3711,They would think it useless to give so much attention to horticulture while they have so many other things to do,NA
385,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3629,3768,"Sultanas Dream

Page No  10

If you cannot save your country for lack of physical strength said the Queen try to do so by brain power",NA
312,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3638,3700,And she cooked something then and there to show me the process,NA
441,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,3656,3771,When the heat becomes unbearable we sprinkle the ground with plentiful showers drawn from the artificial fountains,NA
4484,"More, Thomas, Saint",Utopia,sentence,1478,2151,Even the Syphogrants though excused by the law yet do not excuse themselves but work that by their examples they may excite the industry of the rest of the people the like exemption is allowed to those who being recommended to the people by the priests are by the secret suffrages of the Syphogrants privileged from labour that they may apply themselves wholly to study and if any of these fall short of those hopes that they seemed at first to give they are obliged to return to work and sometimes a mechanic that so employs his leisure hours as to make a considerable advancement in learning is eased from being a tradesman and ranked among their learned men,NA
4126,"More, Thomas, Saint",Utopia,sentence,1480,1934,He is a Portuguese by birth and was so desirous of seeing the world that he divided his estate among his brothers ran the same hazard as Americus Vesputius and bore a share in three of his four voyages that are now published only he did not return with him in his last but obtained leave of him almost by force that he might be one of those twentyfour who were left at the farthest place at which they touched in their last voyage to New Castile,NA
4000,"More, Thomas, Saint",Utopia,sentence,1498,1609,In 1499 More left Oxford to study law in London at Lincolns Inn and in the next year Archbishop Morton died,NA
4794,"More, Thomas, Saint",Utopia,sentence,1502,1584,It is hard to tell whether they are more dexterous in laying or avoiding ambushes,NA
4264,"More, Thomas, Saint",Utopia,sentence,1506,1712,When the Cardinal had done they all commended the motion though they had despised it when it came from me but more particularly commended what related to the vagabonds because it was his own observation,NA
4733,"More, Thomas, Saint",Utopia,sentence,1507,1813,They think leagues are useless things and believe that if the common ties of humanity do not knit men together the faith of promises will have no great effect and they are the more confirmed in this by what they see among the nations round about them who are no strict observers of leagues and treaties,NA
4424,"More, Thomas, Saint",Utopia,sentence,1518,1651,And the magistrates of the town take care to see it given them for they meet generally in the town once a month upon a festival day,NA
4361,"More, Thomas, Saint",Utopia,sentence,1522,2494,If a man says he were to see a great company run out every day into the rain and take delight in being wetif he knew that it would be to no purpose for him to go and persuade them to return to their houses in order to avoid the storm and that all that could be expected by his going to speak to them would be that he himself should be as wet as they it would be best for him to keep within doors and since he had not influence enough to correct other peoples folly to take care to preserve himself  Though to speak plainly my real sentiments I must freely own that as long as there is any property and while money is the standard of all other things I cannot think that a nation can be governed either justly or happily not justly because the best things will fall to the share of the worst men nor happily because all things will be divided among a few and even these are not in all respects happy the rest being left to be absolutely miserable,NA
4535,"More, Thomas, Saint",Utopia,sentence,1529,1792,Thus do those that are in the towns live together but in the country where they live at a great distance every one eats at home and no family wants any necessary sort of provision for it is from them that provisions are sent unto those that live in the towns,NA
4058,"More, Thomas, Saint",Utopia,entity,1540,1545,London,location
4763,"More, Thomas, Saint",Utopia,sentence,1540,1888,They consider the risk that those run who undertake such services and offer a recompense proportioned to the dangernot only a vast deal of gold but great revenues in lands that lie among other nations that are their friends where they may go and enjoy them very securely and they observe the promises they make of their kind most religiously,NA
4212,"More, Thomas, Saint",Utopia,sentence,1541,1681,One shepherd can look after a flock which will stock an extent of ground that would require many hands if it were to be ploughed and reaped,NA
4397,"More, Thomas, Saint",Utopia,sentence,1575,1761,On the other side of the island there are likewise many harbours and the coast is so fortified both by nature and art that a small number of men can hinder the descent of a great army,NA
4654,"More, Thomas, Saint",Utopia,sentence,1582,1722,These are indeed the lowest of pleasures and the least pure for we can never relish them but when they are mixed with the contrary pains,NA
4795,"More, Thomas, Saint",Utopia,sentence,1587,1746,They sometimes seem to fly when it is far from their thoughts and when they intend to give ground they do it so that it is very hard to find out their design,NA
4453,"More, Thomas, Saint",Utopia,sentence,1589,1770,But now their houses are three storeys high the fronts of them are faced either with stone plastering or brick and between the facings of their walls they throw in their rubbish,NA
4782,"More, Thomas, Saint",Utopia,sentence,1594,1857,Next to these they are served in their wars with those upon whose account they undertake them and with the auxiliary troops of their other friends to whom they join a few of their own people and send some man of eminent and approved virtue to command in chief,NA
4230,"More, Thomas, Saint",Utopia,sentence,1599,1707,On the contrary they would look on the mitigation of the punishment as an invitation to commit more crimes,NA
4001,"More, Thomas, Saint",Utopia,sentence,1612,1787,Mores earnest character caused him while studying law to aim at the subduing of the flesh by wearing a hair shirt taking a log for a pillow and whipping himself on Fridays,NA
4282,"More, Thomas, Saint",Utopia,sentence,1612,2504,To this I answered You have done me a great kindness in this relation for as everything has been related by you both wisely and pleasantly so you have made me imagine that I was in my own country and grown young again by recalling that good Cardinal to my thoughts in whose family I was bred from my childhood and though you are upon other accounts very dear to me yet you are the dearer because you honour his memory so much but after all this I cannot change my opinion for I still think that if you could overcome that aversion which you have to the courts of princes you might by the advice which it is in your power to give do a great deal of good to mankind and this is the chief design that every good man ought to propose to himself in living for your friend Plato thinks that nations will be happy when either philosophers become kings or kings become philosophers,NA
4137,"More, Thomas, Saint",Utopia,entity,1620,1637,Americus Vesputius,person
4719,"More, Thomas, Saint",Utopia,sentence,1620,1770,It is thought a sign of a sluggish and sordid mind not to preserve carefully ones natural beauty but it is likewise infamous among them to use paint,NA
4500,"More, Thomas, Saint",Utopia,sentence,1623,2421,By the same rule they supply cities that do not increase so fast from others that breed faster and if there is any increase over the whole island then they draw out a number of their citizens out of the several towns and send them over to the neighbouring continent where if they find that the inhabitants have more soil than they can well cultivate they fix a colony taking the inhabitants into their society if they are willing to live with them and where they do that of their own accord they quickly enter into their method of life and conform to their rules and this proves a happiness to both nations for according to their constitution such care is taken of the soil that it becomes fruitful enough for both though it might be otherwise too narrow and barren for any one of them,NA
4320,"More, Thomas, Saint",Utopia,sentence,1629,1784,Whereas necessity and poverty blunts them makes them patient beats them down and breaks that height of spirit that might otherwise dispose them to rebel,NA
4598,"More, Thomas, Saint",Utopia,sentence,1633,2010,And from thence they infer that if a man ought to advance the welfare and comfort of the rest of mankind there being no virtue more proper and peculiar to our nature than to ease the miseries of others to free from trouble and anxiety in furnishing them with the comforts of life in which pleasure consists Nature much more vigorously leads them to do all this for himself,NA
4425,"More, Thomas, Saint",Utopia,sentence,1654,1906,When the time of harvest comes the magistrates in the country send to those in the towns and let them know how many hands they will need for reaping the harvest and the number they call for being sent to them they commonly despatch it all in one day,NA
4551,"More, Thomas, Saint",Utopia,sentence,1665,1824,This I have the more reason to apprehend because if I had not seen it myself I could not have been easily persuaded to have believed it upon any mans report,NA
4170,"More, Thomas, Saint",Utopia,sentence,1666,1779,I have met with these proud morose and absurd judgments of things in many places particularly once in England,NA
4581,"More, Thomas, Saint",Utopia,sentence,1668,2369,They are so far from minding chimeras and fantastical images made in the mind that none of them could comprehend what we meant when we talked to them of a man in the abstract as common to all men in particular so that though we spoke of him as a thing that we could point at with our fingers yet none of them could perceive him and yet distinct from every one as if he were some monstrous Colossus or giant yet for all this ignorance of these empty notions they knew astronomy and were perfectly acquainted with the motions of the heavenly bodies and have many instruments well contrived and divided by which they very accurately compute the course and positions of the sun moon and stars,NA
4819,"More, Thomas, Saint",Utopia,sentence,1668,2206,By degrees they fall off from the various superstitions that are among them and grow up to that one religion that is the best and most in request and there is no doubt to be made but that all the others had vanished long ago if some of those who advised them to lay aside their superstitions had not met with some unhappy accidents which being considered as inflicted by heaven made them afraid that the god whose worship had like to have been abandoned had interposed and revenged themselves on those who despised their authority,NA
4302,"More, Thomas, Saint",Utopia,sentence,1669,2067,When they saw this and that there would be no end to these evils they by joint counsels made an humble address to their king desiring him to choose which of the two kingdoms he had the greatest mind to keep since he could not hold both for they were too great a people to be governed by a divided king since no man would willingly have a groom that should be in common between him and another,NA
4614,"More, Thomas, Saint",Utopia,sentence,1672,1859,It is also a great folly to be taken with outward marks of respect which signify nothing for what true or real pleasure can one man find in anothers standing bare or making legs to him,NA
4566,"More, Thomas, Saint",Utopia,sentence,1675,2011,It was not unpleasant to see on the one side how they looked big when they compared their rich habits with the plain clothes of the Utopians who were come out in great numbers to see them make their entry and on the other to observe how much they were mistaken in the impression which they hoped this pomp would have made on them,NA
4632,"More, Thomas, Saint",Utopia,sentence,1677,1795,They reckon up several sorts of pleasures which they call true ones some belong to the body and others to the mind,NA
4213,"More, Thomas, Saint",Utopia,sentence,1684,1739,This likewise in many places raises the price of corn,NA
4084,"More, Thomas, Saint",Utopia,sentence,1694,1899,Designedly fantastic in suggestion of details Utopia is the work of a scholar who had read Platos Republic and had his fancy quickened after reading Plutarchs account of Spartan life under Lycurgus,NA
4148,"More, Thomas, Saint",Utopia,sentence,1695,2522,After Raphael had discoursed with great judgment on the many errors that were both among us and these nations had treated of the wise institutions both here and there and had spoken as distinctly of the customs and government of every nation through which he had past as if he had spent his whole life in it Peter being struck with admiration said I wonder Raphael how it comes that you enter into no kings service for I am sure there are none to whom you would not be very acceptable for your learning and knowledge both of men and things is such that you would not only entertain them very pleasantly but be of great use to them by the examples you could set before them and the advices you could give them and by this means you would both serve your own interest and be of great use to all your friends,NA
4516,"More, Thomas, Saint",Utopia,sentence,1697,2198,After the steward of the hospitals has taken for the sick whatsoever the physician prescribes then the best things that are left in the market are distributed equally among the halls in proportion to their numbers only in the first place they serve the Prince the Chief Priest the Tranibors the Ambassadors and strangers if there are any which indeed falls out but seldom and for whom there are houses well furnished particularly appointed for their reception when they come among them,NA
4745,"More, Thomas, Saint",Utopia,sentence,1705,1816,This they count a juster cause of war than the other because those injuries are done under some colour of laws,NA
4231,"More, Thomas, Saint",Utopia,sentence,1710,2351,I answered It seems to me a very unjust thing to take away a mans life for a little money for nothing in the world can be of equal value with a mans life and if it be said that it is not for the money that one suffers but for his breaking the law I must say extreme justice is an extreme injury for we ought not to approve of those terrible laws that make the smallest offences capital nor of that opinion of the Stoics that makes all crimes equal as if there were no difference to be made between the killing a man and the taking his purse between which if we examine things impartially there is no likeness nor proportion,NA
4265,"More, Thomas, Saint",Utopia,sentence,1715,1909,I do not know whether it be worth while to tell what followed for it was very ridiculous but I shall venture at it for as it is not foreign to this matter so some good use may be made of it,NA
4655,"More, Thomas, Saint",Utopia,sentence,1725,1824,The pain of hunger must give us the pleasure of eating and here the pain outbalances the pleasure,NA
4214,"More, Thomas, Saint",Utopia,sentence,1742,2119,The price of wool is also so risen that the poor people who were wont to make cloth are no more able to buy it and this likewise makes many of them idle for since the increase of pasture God has punished the avarice of the owners by a rot among the sheep which has destroyed vast numbers of themto us it might have seemed more just had it fell on the owners themselves,NA
4796,"More, Thomas, Saint",Utopia,sentence,1749,1925,If they see they are ill posted or are like to be overpowered by numbers they then either march off in the night with great silence or by some stratagem delude their enemies,NA
4398,"More, Thomas, Saint",Utopia,sentence,1764,1898,But they report and there remains good marks of it to make it credible that this was no island at first but a part of the continent,NA
4348,"More, Thomas, Saint",Utopia,sentence,1767,2111,If when one of Plautus comedies is upon the stage and a company of servants are acting their parts you should come out in the garb of a philosopher and repeat out of  Octavia  a discourse of Senecas to Nero would it not be better for you to say nothing than by mixing things of such different natures to make an impertinent tragicomedy,NA
4183,"More, Thomas, Saint",Utopia,entity,1771,1777,England,location
4454,"More, Thomas, Saint",Utopia,sentence,1773,1958,Their roofs are flat and on them they lay a sort of plaster which costs very little and yet is so tempered that it is not apt to take fire and yet resists the weather more than lead,NA
4720,"More, Thomas, Saint",Utopia,sentence,1773,2011,They all see that no beauty recommends a wife so much to her husband as the probity of her life and her obedience for as some few are caught and held only by beauty so all are attracted by the other excellences which charm all the world,NA
4171,"More, Thomas, Saint",Utopia,sentence,1782,1994,Were you ever there said I  Yes I was answered he and stayed some months there not long after the rebellion in the West was suppressed with a great slaughter of the poor people that were engaged in it,NA
4321,"More, Thomas, Saint",Utopia,sentence,1787,2344,Now what if after all these propositions were made I should rise up and assert that such counsels were both unbecoming a king and mischievous to him and that not only his honour but his safety consisted more in his peoples wealth than in his own if I should show that they choose a king for their own sake and not for his that by his care and endeavours they may be both easy and safe and that therefore a prince ought to take more care of his peoples happiness than of his own as a shepherd is to take more care of his flock than of himself,NA
4103,"More, Thomas, Saint",Utopia,entity,1788,1792,Plato,person
4002,"More, Thomas, Saint",Utopia,sentence,1790,1918,At the age of twentyone he entered Parliament and soon after he had been called to the bar he was made UnderSheriff of London,NA
4872,"More, Thomas, Saint",Utopia,sentence,1793,2192,They meet in their temples on the evening of the festival that concludes a season and not having yet broke their fast they thank God for their good success during that year or month which is then at an end and the next day being that which begins the new season they meet early in their temples to pray for the happy progress of all their affairs during that period upon which they then enter,NA
4536,"More, Thomas, Saint",Utopia,sentence,1797,2076,OF THE TRAVELLING OF THE UTOPIANS   If any man has a mind to visit his friends that live in some other town or desires to travel and see the rest of the country he obtains leave very easily from the Syphogrant and Tranibors when there is no particular occasion for him at home,NA
4633,"More, Thomas, Saint",Utopia,sentence,1798,2019,The pleasures of the mind lie in knowledge and in that delight which the contemplation of truth carries with it to which they add the joyful reflections on a well spent life and the assured hopes of a future happiness,NA
4192,"More, Thomas, Saint",Utopia,sentence,1800,2059,To this he answered This sort of men ought to be particularly cherished for in them consists the force of the armies for which we have occasion since their birth inspires them with a nobler sense of honour than is to be found among tradesmen or ploughmen,NA
4475,"More, Thomas, Saint",Utopia,sentence,1810,1922,When he has learned both he follows that which he likes best unless the public has more occasion for the other,NA
4734,"More, Thomas, Saint",Utopia,sentence,1816,2515,We know how religiously they are observed in Europe more particularly where the Christian doctrine is received among whom they are sacred and inviolable which is partly owing to the justice and goodness of the princes themselves and partly to the reverence they pay to the popes who as they are the most religious observers of their own promises so they exhort all other princes to perform theirs and when fainter methods do not prevail they compel them to it by the severity of the pastoral censure and think that it would be the most indecent thing possible if men who are particularly distinguished by the title of The Faithful should not religiously keep the faith of their treaties,NA
4746,"More, Thomas, Saint",Utopia,sentence,1819,2646,This was the only ground of that war in which they engaged with the Nephelogetes against the Aleopolitanes a little before our time for the merchants of the former having as they thought met with great injustice among the latter which whether it was in itself right or wrong drew on a terrible war in which many of their neighbours were engaged and their keenness in carrying it on being supported by their strength in maintaining it it not only shook some very flourishing states and very much afflicted others but after a series of much mischief ended in the entire conquest and slavery of the Aleopolitanes who though before the war they were in all respects much superior to the Nephelogetes were yet subdued but though the Utopians had assisted them in the war yet they pretended to no share of the spoil,NA
