,author,title,type,start,end,words,kind
342,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,780,1010,When they came to know that the female universities were able to draw water from the atmosphere and collect heat from the sun they only laughed at the members of the universities and called the whole thing a sentimental nightmare,NA
263,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,821,885,They should not do anything excuse me they are fit for nothing,NA
175,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,839,909,All on a sudden a lady stood before me how she came in I do not know,NA
264,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,887,931,Only catch them and put them into the zenana,NA
176,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,911,948,"I took
her for my friend Sister Sara",NA
411,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,924,1150,"Sultanas Dream Page No  11 Her Royal Highness sent them a circular letter intimating to them that if their
services should ever be needed they would be sent for and that in the meanwhile
they should remain where they were",NA
265,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,933,1131,But would it be very easy to catch and put them inside the four walls said I And even if this were done would all their business  political and commercial  also go with them into the zenana,NA
245,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,937,947,Sister Sara,person
177,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,950,980,Good morning said Sister Sara,NA
246,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,969,979,Sister Sara,person
178,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,982,1046,"I smiled inwardly as I knew it was not morning
but starry night",NA
343,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1012,1055,Your achievements are very wonderful indeed,NA
179,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1048,1096,However I replied to her saying How do you do,NA
344,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1057,1132,But tell me how you managed to put the men of your country into the zenana,NA
180,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1098,1123,I am all right thank you,NA
181,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1125,1179,Will you please come out and have a look at our garden,NA
247,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,1125,1128,Will,person
266,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1133,1158,Sister Sara made no reply,NA
345,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1134,1159,Did you entrap them first,NA
412,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1152,1297,"Now that they are accustomed to the purdah
system and have ceased to grumble at their seclusion we call the system
Mardana instead of zenana",NA
267,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1160,1183,She only smiled sweetly,NA
346,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1161,1163,No,NA
347,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1165,1315,It is not likely that they would surrender their free and open air life of their own accord and confine themselves within the four walls of the zenana,NA
182,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1181,1288,"I looked again at the moon through the open window and thought there was no
harm in going out at that time",NA
268,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1185,1273,"Perhaps she thought it useless
to argue with one who was no better than a frog in a well",NA
269,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1275,1317,By this time we reached Sister Saras house,NA
183,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1290,1392,"The menservants outside were fast asleep just then
and I could have a pleasant walk with Sister Sara",NA
413,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1299,1409,"But how do you manage I asked Sister Sara to do without the police or
magistrates in case of theft or murder",NA
348,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1317,1348,They must have been overpowered,NA
270,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1319,1368,It was situated in a beautiful heartshaped garden,NA
332,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,1319,1320,It,person
490,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,1330,1340,Sister Sara,person
349,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1350,1369,Yes they have been,NA
271,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1370,1415,It was a bungalow with a corrugated iron roof,NA
350,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1371,1378,By whom,NA
351,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1380,1412,By some ladywarriors I suppose,NA
248,Rokheya Shekhawat Hossein,Sultana’s Dream,entity,1381,1391,Sister Sara,person
184,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1394,1462,I used to have my walks with Sister Sara when we were at Darjeeling,NA
414,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1411,1610,"Since the Mardana system has been established there has been no more crime
or sin therefore we do not require a policeman to find out a culprit nor do we
want a magistrate to try a criminal case",NA
352,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1414,1429,No not by arms,NA
272,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1417,1471,It was cooler and nicer than any of our rich buildings,NA
353,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1431,1451,Yes it cannot be so,NA
354,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1453,1487,Mens arms are stronger than womens,NA
185,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1464,1556,"Many a
time did we walk hand in hand and talk lightheartedly in the botanical gardens
there",NA
273,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1473,1560,I cannot describe how neat and how nicely furnished and how tastefully decorated it was,NA
355,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1489,1493,Then,NA
356,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1498,1538,"Sultanas Dream

Page No  9

By brain",NA
357,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1540,1592,Even their brains are bigger and heavier than womens,NA
186,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1558,1684,"I fancied Sister Sara had probably come to take me to some such garden
and I readily accepted her offer and went out with her",NA
274,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1562,1581,We sat side by side,NA
275,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1583,1676,She brought out of the parlour a piece of embroidery work and began putting on a fresh design,NA
358,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1594,1606,Are they not,NA
359,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1608,1629,Yes but what of that,NA
415,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1612,1637,That is very good indeed,NA
360,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1631,1697,"An elephant also has got a bigger and heavier brain than a
man has",NA
416,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1639,1718,"I suppose if there was any dishonest person you could
very easily chastise her",NA
276,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1678,1714,Do you know knitting and needle work,NA
187,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1686,1748,When walking I found to my surprise that it was a fine morning,NA
361,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1699,1775,"Yet man can enchain elephants and employ them according to their own
wishes",NA
277,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1716,1761,Yes we have nothing else to do in our zenana,NA
417,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1720,1861,"As you gained a decisive victory without shedding a
single drop of blood you could drive off crime and criminals too without much
difficulty",NA
188,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1750,1817,"The town was
fully awake and the streets alive with bustling crowds",NA
278,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1763,1911,"But we do not trust our zenana members with embroidery she said laughing as a
man has not patience enough to pass thread through a needlehole even",NA
362,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1777,1836,Well said but tell me please how it all actually happened,NA
189,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1819,1937,"I was feeling very shy
thinking I was walking in the street in broad daylight but there was not a single
man visible",NA
363,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1838,1859,I am dying to know it,NA
364,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1861,1905,Womens brains are somewhat quicker than mens,NA
418,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1863,1921,Now dear Sultana will you sit here or come to my parlour,NA
365,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1907,2084,"Ten years ago when the
military officers called our scientific discoveries a sentimental nightmare some
of the young ladies wanted to say something in reply to those remarks",NA
279,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1913,1949,Have you done all this work yourself,NA
419,Rokheya Shekhawat Hossein,Sultana’s Dream,sentence,1923,1935,she asked me,NA
3990,"More, Thomas, Saint",Utopia,sentence,1,150,UTOPIA   INTRODUCTION   Sir Thomas More son of Sir John More a justice of the Kings Bench was born in 1478 in Milk Street in the city of London,NA
4075,"More, Thomas, Saint",Utopia,sentence,1,18,by Ralph Robinson,NA
4117,"More, Thomas, Saint",Utopia,sentence,1,23,ad quickened very much,NA
4142,"More, Thomas, Saint",Utopia,sentence,1,63,ships and the seamen understood both astronomy and navigation,NA
4166,"More, Thomas, Saint",Utopia,sentence,1,765,mselves more to affairs of war than to the useful arts of peace and in these I neither have any knowledge nor do I much desire it they are generally more set on acquiring new kingdoms right or wrong than on governing well those they possess and among the ministers of princes there are none that are not so wise as to need no assistance or at least that do not think themselves so wise that they imagine they need none and if they court any it is only those for whom the prince has much personal favour whom by their fawning and flatteries they endeavour to fix to their own interests and indeed nature has so made us that we all love to be flattered and to please ourselves with our own notions the old crow loves his young and the ape her cubs,NA
4208,"More, Thomas, Saint",Utopia,sentence,1,146,hich their farms yielded nor thinking it enough that they living at their ease do no good to the public resolve to do it hurt instead of good,NA
4224,"More, Thomas, Saint",Utopia,sentence,1,545,educated and their manners to be corrupted from their infancy and then punish them for those crimes to which their first education disposed them what else is to be concluded from this but that you first make thieves and then punish them  While I was talking thus the Counsellor who was present had prepared an answer and had resolved to resume all I had said according to the formality of a debate in which things are generally repeated more faithfully than they are answered as if the chief trial to be made were of mens memories,NA
4242,"More, Thomas, Saint",Utopia,sentence,1,295,uctions of their own country which is very fruitful they have little commerce with any other nation and as they according to the genius of their country have no inclination to enlarge their borders so their mountains and the pension they pay to the Persian secure them from all invasions,NA
4260,"More, Thomas, Saint",Utopia,sentence,1,292,vering their freedom since by their obedience and patience and by giving good grounds to believe that they will change their manner of life for the future they may expect at last to obtain their liberty and some are every year restored to it upon the good character that is given of them,NA
4277,"More, Thomas, Saint",Utopia,sentence,1,657,that mocker that rogue that scoundrel will perhaps feel  You do this perhaps with a good intention said the Cardinal but in my opinion it were wiser in you and perhaps better for you not to engage in so ridiculous a contest with a Fool  No my lord answered he that were not wisely done for Solomon the wisest of men said Answer a Fool according to his folly which I now do and show him the ditch into which he will fall if he is not aware of it for if the many mockers of Elisha who was but one bald man felt the effect of his zeal what will become of the mocker of so many Friars among whom there are so many bald men,NA
4315,"More, Thomas, Saint",Utopia,sentence,1,125,singularity or to make their court would find out some pretence or other to give the king a fair colour to carry the point,NA
4357,"More, Thomas, Saint",Utopia,sentence,1,101,ad been a leaden rule to their lives that so some way or other they might agree with one another,NA
4367,"More, Thomas, Saint",Utopia,sentence,1,162,mselves by cheats and violence and it would become necessary to find out rich men for undergoing those employments which ought rather to be trusted to the wise,NA
4388,"More, Thomas, Saint",Utopia,sentence,1,123,ervants to take care that none might come and interrupt us and both Peter and I desired Raphael to be as good as his word,NA
4418,"More, Thomas, Saint",Utopia,sentence,1,371,ite multitude of chickens in a very curious manner for the hens do not sit and hatch them but a vast number of eggs are laid in a gentle and equal heat in order to be hatched and they are no sooner out of the shell and able to stir about but they seem to consider those that feed them as their mothers and follow them as other chickens do the hen that hatched them,NA
4444,"More, Thomas, Saint",Utopia,sentence,1,115,hat on all hands face the streets so that every house has both a door to the street and a back door to the garden,NA
4467,"More, Thomas, Saint",Utopia,sentence,1,21,den in their motions,NA
4494,"More, Thomas, Saint",Utopia,sentence,1,242,e is a great abundance of all things among them so that it frequently happens that for want of other work vast numbers are sent out to mend the highways but when no public undertaking is to be performed the hours of working are lessened,NA
4509,"More, Thomas, Saint",Utopia,sentence,1,280,h are among the best of those affections that are born with us are much impaired by the butchering of animals nor do they suffer anything that is foul or unclean to be brought within their towns lest the air should be infected by illsmells which might prejudice their health,NA
4528,"More, Thomas, Saint",Utopia,sentence,1,112,et before the old whose seats are distinguished from the young and after them all the rest are served alike,NA
4547,"More, Thomas, Saint",Utopia,sentence,1,351,e few things that they need at home for indeed they scarce need anything but iron but likewise a great deal of gold and silver and by their driving this trade so long it is not to be imagined how vast a treasure they have got among them so that now they do not much care whether they sell off their merchandise for money in hand or upon trust,NA
4561,"More, Thomas, Saint",Utopia,sentence,1,150,ay them aside and would be as much ashamed to use them afterwards as children among us when they come to years are of their puppets and other toys,NA
4591,"More, Thomas, Saint",Utopia,sentence,1,103,leasures of life but willingly to undergo much pain and trouble if a man has no prospect of a reward,NA
4608,"More, Thomas, Saint",Utopia,sentence,1,153,se carries us and by which we neither injure any other person nor lose the possession of greater pleasures and of such as draw no troubles after them,NA
4628,"More, Thomas, Saint",Utopia,sentence,1,166,ng the hare killed and torn by the dogs this ought rather to stir pity that a weak harmless and fearful hare should be devoured by strong fierce and cruel dogs,NA
4646,"More, Thomas, Saint",Utopia,sentence,1,158,ater pleasure except we fancy that it becomes stupid as soon as it has obtained that which it pursued and so neither knows nor rejoices in its own welfare,NA
4668,"More, Thomas, Saint",Utopia,sentence,1,429,nd by their industry they so cultivate their soil that there is nowhere to be seen a greater increase both of corn and cattle nor are there anywhere healthier men and freer from diseases for one may there see reduced to practice not only all the art that the husbandman employs in manuring and improving an ill soil but whole woods plucked up by the roots and in other places new ones planted where there were none before,NA
4685,"More, Thomas, Saint",Utopia,sentence,1,170, and though at first they could not arrive at perfection yet by making many essays they at last found out and corrected all their errors and conquered every difficulty,NA
4700,"More, Thomas, Saint",Utopia,sentence,1,295,ely is because they think that if they were not strictly restrained from all vagrant appetites very few would engage in a state in which they venture the quiet of their whole lives by being confined to one person and are obliged to endure all the inconveniences with which it is accompanied,NA
4714,"More, Thomas, Saint",Utopia,sentence,1,52,n nor by their chains and are at last put to death,NA
4729,"More, Thomas, Saint",Utopia,sentence,1,77,they have neither the leisure nor the capacity requisite for such an inquiry,NA
4740,"More, Thomas, Saint",Utopia,sentence,1,326,emed our enemy that has never injured us and that the partnership of human nature is instead of a league and that kindness and good nature unite men more effectually and with greater strength than any agreements whatsoever since thereby the engagements of mens hearts become stronger than the bond and obligation of words,NA
4777,"More, Thomas, Saint",Utopia,sentence,1,474,art of the armies of both sides so it often falls out that they who are related and were hired in the same country and so have lived long and familiarly together forgetting both their relations and former friendship kill one another upon no other consideration than that of being hired to it for a little money by princes of different interests and such a regard have they for money that they are easily wrought on by the difference of one penny a day to change sides,NA
4790,"More, Thomas, Saint",Utopia,sentence,1,316,al of their enemies set on him either openly or by ambuscade pursue him everywhere and when spent and wearied out are relieved by others who never give over the pursuit either attacking him with close weapons when they can get near him or with those which wound at a distance when others get in between them,NA
4813,"More, Thomas, Saint",Utopia,sentence,1,296,vading their country they prevent him and make his country the seat of the war for they do not willingly suffer any war to break in upon their island and if that should happen they would only defend themselves by their own people but would not call for auxiliary troops to their assistance,NA
4829,"More, Thomas, Saint",Utopia,sentence,1,51,y different party in religion fought by themselves,NA
4842,"More, Thomas, Saint",Utopia,sentence,1,16,of the deceased,NA
4857,"More, Thomas, Saint",Utopia,sentence,1,200,ce but these enter again upon their employments when they return and those who served in their absence attend upon the high priest till vacancies fall by death for there is one set over the rest,NA
4867,"More, Thomas, Saint",Utopia,sentence,1,121,s there any nation about them so fierce cruel or barbarous as not to look upon their persons as sacred and inviolable,NA
4882,"More, Thomas, Saint",Utopia,sentence,1,50,their duties both to Him and to their neighbours,NA
4896,"More, Thomas, Saint",Utopia,sentence,1,302,smith or a ploughman that works harder even than the beasts themselves and is employed in labours so necessary that no commonwealth could hold out a year without them can only earn so poor a livelihood and must lead so miserable a life that the condition of the beasts is much better than theirs,NA
4187,"More, Thomas, Saint",Utopia,sentence,2,385,many lose their limbs in civil or foreign wars as lately in the Cornish rebellion and some time ago in your wars with France who being thus mutilated in the service of their king and country can no more follow their old trades and are too old to learn new ones but since wars are only accidental things and have intervals let us consider those things that fall out every day,NA
4300,"More, Thomas, Saint",Utopia,sentence,2,165,to be supported underhand for by the League it cannot be done avowedly who has a pretension to the crown by which means that suspected prince may be kept in awe,NA
4339,"More, Thomas, Saint",Utopia,sentence,2,307,that moderate sum might be sufficient for any accident if either the king had occasion for it against the rebels or the kingdom against the invasion of an enemy but that it was not enough to encourage a prince to invade other mens rightsa circumstance that was the chief cause of his making that law,NA
4483,"More, Thomas, Saint",Utopia,sentence,2,1475,made up of idle persons that are kept more for show than use add to these all those strong and lusty beggars that go about pretending some disease in excuse for their begging and upon the whole account you will find that the number of those by whose labours mankind is supplied is much less than you perhaps imagined then consider how few of those that work are employed in labours that are of real service for we who measure all things by money give rise to many trades that are both vain and superfluous and serve only to support riot and luxury for if those who work were employed only in such things as the conveniences of life require there would be such an abundance of them that the prices of them would so sink that tradesmen could not be maintained by their gains if all those who labour about useless things were set to more profitable employments and if all they that languish out their lives in sloth and idleness every one of whom consumes as much as any two of the men that are at work were forced to labour you may easily imagine that a small proportion of time would serve for doing all that is either necessary profitable or pleasant to mankind especially while pleasure is kept within its due bounds this appears very plainly in Utopia for there in a great city and in all the territory that lies round it you can scarce find five hundred either men or women by their age and strength capable of labour that are not engaged in it,NA
4576,"More, Thomas, Saint",Utopia,sentence,2,242,yet merely because he is rich give him little less than divine honours even though they know him to be so covetous and baseminded that notwithstanding all his wealth he will not part with one farthing of it to them as long as he lives,NA
4755,"More, Thomas, Saint",Utopia,sentence,2,135,done to take so severe a revenge on those that have injured them that they may be terrified from doing the like for the time to come,NA
4097,"More, Thomas, Saint",Utopia,entity,4,17,Ralph Robinson,person
4843,"More, Thomas, Saint",Utopia,sentence,19,198,When they come from the funeral they discourse of his good life and worthy actions but speak of nothing oftener and with more pleasure than of his serenity at the hour of death,NA
4076,"More, Thomas, Saint",Utopia,sentence,21,292,It was translated with more literary skill by Gilbert Burnet in 1684 soon after he had conducted the defence of his friend Lord William Russell attended his execution vindicated his memory and been spitefully deprived by James II of his lectureship at St Clements,NA
4118,"More, Thomas, Saint",Utopia,sentence,26,392,One day as I was returning home from mass at St Marys which is the chief church and the most frequented of any in Antwerp I saw him by accident talking with a stranger who seemed past the flower of his age his face was tanned he had a long beard and his cloak was hanging carelessly about him so that by his looks and habit I concluded he was a seaman,NA
4468,"More, Thomas, Saint",Utopia,sentence,26,435,OF THEIR TRADES AND MANNER OF LIFE   Agriculture is that which is so universally understood among them that no person either man or woman is ignorant of it they are instructed in it from their childhood partly by what they learn at school and partly by practice they being led out often into the fields about the town where they not only see others at work but are likewise exercised in it themselves,NA
4025,"More, Thomas, Saint",Utopia,entity,29,39,Thomas More,person
4026,"More, Thomas, Saint",Utopia,entity,53,61,John More,person
4883,"More, Thomas, Saint",Utopia,sentence,53,292,As soon as the priest appears in those ornaments they all fall prostrate on the ground with so much reverence and so deep a silence that such as look on cannot but be struck with it as if it were the effect of the appearance of a deity,NA
4830,"More, Thomas, Saint",Utopia,sentence,54,493,After he had subdued them he made a law that every man might be of what religion he pleased and might endeavour to draw others to it by the force of argument and by amicable and modest ways but without bitterness against those of other opinions but that he ought to use no other force but that of persuasion and was neither to mix with it reproaches nor violence and such as did otherwise were to be condemned to banishment or slavery,NA
4715,"More, Thomas, Saint",Utopia,sentence,55,494,But those who bear their punishment patiently and are so much wrought on by that pressure that lies so hard on them that it appears they are really more troubled for the crimes they have committed than for the miseries they suffer are not out of hope but that at last either the Prince will by his prerogative or the people by their intercession restore them again to their liberty or at least very much mitigate their slavery,NA
4143,"More, Thomas, Saint",Utopia,sentence,66,187,He got wonderfully into their favour by showing them the use of the needle of which till then they were utterly ignorant,NA
4098,"More, Thomas, Saint",Utopia,entity,67,80,Gilbert Burnet,person
4417,"More, Thomas, Saint",Utopia,entity,70,74,Peter,person
4730,"More, Thomas, Saint",Utopia,sentence,80,586,Some of their neighbours who are masters of their own liberties having long ago by the assistance of the Utopians shaken off the yoke of tyranny and being much taken with those virtues which they observe among them have come to desire that they would send magistrates to govern them some changing them every year and others every five years at the end of their government they bring them back to Utopia with great expressions of honour and esteem and carry away others to govern in their stead,NA
4358,"More, Thomas, Saint",Utopia,sentence,104,417,But I see no other effect of this compliance except it be that men become more secure in their wickedness by it and this is all the success that I can have in a court for I must always differ from the rest and then I shall signify nothing or if I agree with them I shall then only help forward their madness,NA
4592,"More, Thomas, Saint",Utopia,sentence,106,261,And what reward can there be for one that has passed his whole life not only without pleasure but in pain if there is nothing to be expected after death,NA
4529,"More, Thomas, Saint",Utopia,sentence,115,290,The old men distribute to the younger any curious meats that happen to be set before them if there is not such an abundance of them that the whole company may be served alike,NA
4445,"More, Thomas, Saint",Utopia,sentence,118,312,Their doors have all two leaves which as they are easily opened so they shut of their own accord and there being no property among them every man may freely enter into any house whatsoever,NA
4204,"More, Thomas, Saint",Utopia,entity,122,127,France,location
4868,"More, Thomas, Saint",Utopia,sentence,124,460,The first and the last day of the month and of the year is a festival they measure their months by the course of the moon and their years by the course of the sun the first days are called in their language the Cynemernes and the last the Trapemernes which answers in our language to the festival that begins or ends the season,NA
4389,"More, Thomas, Saint",Utopia,sentence,126,406,When he saw that we were very intent upon it he paused a little to recollect himself and began in this manner  The island of Utopia is in the middle two hundred miles broad and holds almost at the same breadth over a great part of it but it grows narrower towards both ends,NA
4316,"More, Thomas, Saint",Utopia,sentence,128,643,For if the judges but differ in opinion the clearest thing in the world is made by that means disputable and truth being once brought in question the king may then take advantage to expound the law for his own profit while the judges that stand out will be brought over either through fear or modesty and they being thus gained all of them may be sent to the Bench to give sentence boldly as the king would have it for fair pretences will never be wanting when sentence is to be given in the princes favour,NA
4756,"More, Thomas, Saint",Utopia,sentence,138,329,By these ends they measure all their designs and manage them so that it is visible that the appetite of fame or vainglory does not work so much on there as a just care of their own security,NA
4053,"More, Thomas, Saint",Utopia,entity,144,149,London,location
4139,"More, Thomas, Saint",Utopia,entity,145,151,Antwerp,location
4099,"More, Thomas, Saint",Utopia,entity,146,165,Lord William Russell,person
4209,"More, Thomas, Saint",Utopia,sentence,149,303,They stop the course of agriculture destroying houses and towns reserving only the churches and enclose grounds that they may lodge their sheep in them,NA
