,author,title,words.x,sentence_nr,words.y,kind
18,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,They leave Omelas they walk ahead into the darkness and they do not come back,159,Omelas,location
19,Ursula K. Le Guin,The Ones Who Walk Away From Omelas,But they seem to know where they are going the ones who walk away from Omelas,163,Omelas,location
20,Rokheya Shekhawat Hossein,Sultana’s Dream,"Sultanaâ€™s Dream Page No  2 Sultanas Dream
by Rokheya Shekhawat Hossein 1880  1932

Sultanas Dream was originally published in The Indian Ladies
Magazine Madras 1905 in English",165,India,location
21,Rokheya Shekhawat Hossein,Sultana’s Dream,"Sultanaâ€™s Dream Page No  2 Sultanas Dream
by Rokheya Shekhawat Hossein 1880  1932

Sultanas Dream was originally published in The Indian Ladies
Magazine Madras 1905 in English",165,Ladies,person
22,Rokheya Shekhawat Hossein,Sultana’s Dream,"This edition is transcribed from
Sultanas dream and Padmarag two feminist utopias by Rokeya Sakhawat Hossain translated with an introduction by Barnita Bagchi",166,Barnita Bagchi,person
23,Rokheya Shekhawat Hossein,Sultana’s Dream,New Delhi India  Penguin 2005,167,New Delhi,location
24,Rokheya Shekhawat Hossein,Sultana’s Dream,New Delhi India  Penguin 2005,167,India,location
25,Rokheya Shekhawat Hossein,Sultana’s Dream,"Sultanaâ€™s Dream Page No  3 Sultanas Dream

One evening I was lounging in an easy chair in my bedroom and thinking lazily of
the condition of Indian womanhood",168,India,location
26,Rokheya Shekhawat Hossein,Sultana’s Dream,"I took
her for my friend Sister Sara",173,Sister Sara,person
27,Rokheya Shekhawat Hossein,Sultana’s Dream,Good morning said Sister Sara,174,Sister Sara,person
28,Rokheya Shekhawat Hossein,Sultana’s Dream,Will you please come out and have a look at our garden,178,Will,person
29,Rokheya Shekhawat Hossein,Sultana’s Dream,"The menservants outside were fast asleep just then
and I could have a pleasant walk with Sister Sara",180,Sister Sara,person
30,Rokheya Shekhawat Hossein,Sultana’s Dream,I used to have my walks with Sister Sara when we were at Darjeeling,181,Sister Sara,person
31,Rokheya Shekhawat Hossein,Sultana’s Dream,"I fancied Sister Sara had probably come to take me to some such garden
and I readily accepted her offer and went out with her",183,Sister Sara,person
32,Rokheya Shekhawat Hossein,Sultana’s Dream,"I became very nervous when I
found that my companion was not Sister Sara but a stranger",195,Sister Sara,person
33,Rokheya Shekhawat Hossein,Sultana’s Dream,"Oh what a fool had I
been to mistake this lady for my dear old friend Sister Sara",196,Sister Sara,person
34,Rokheya Shekhawat Hossein,Sultana’s Dream,asked Sister Sara,209,Sister Sara,person
35,Rokheya Shekhawat Hossein,Sultana’s Dream,"I continued calling her Sister Sara and she
kept calling me by my name",210,Sister Sara,person
36,Rokheya Shekhawat Hossein,Sultana’s Dream,Sister Sara laughed too,229,Sister Sara,person
37,Rokheya Shekhawat Hossein,Sultana’s Dream,In India man is lord and master he has taken to himself all powers and privileges and shut up the women in the zenana,245,India,location
38,Rokheya Shekhawat Hossein,Sultana’s Dream,But my dear Sister Sara if we do everything by ourselves what will the men do then,250,Sister Sara,person
39,Rokheya Shekhawat Hossein,Sultana’s Dream,Sister Sara made no reply,254,Sister Sara,person
40,Rokheya Shekhawat Hossein,Sultana’s Dream,By this time we reached Sister Saras house,257,Sister Sara,person
41,Rokheya Shekhawat Hossein,Sultana’s Dream,Will you care to see our kitchen,289,Will,person
42,Rokheya Shekhawat Hossein,Sultana’s Dream,"Thirty years ago when our present
Queen was thirteen years old she inherited the throne",304,Queen,person
43,Rokheya Shekhawat Hossein,Sultana’s Dream,"She was Queen in name
only the Prime Minister really ruling the country",305,Queen,person
44,Rokheya Shekhawat Hossein,Sultana’s Dream,Our good Queen liked science very much,306,Queen,person
45,Rokheya Shekhawat Hossein,Sultana’s Dream,In the capital where our Queen lives there are two universities,316,Queen,person
46,Rokheya Shekhawat Hossein,Sultana’s Dream,"The
king who cared more for power than for good government asked our kindhearted
Queen to hand them over to his officers",359,Queen,person
47,Rokheya Shekhawat Hossein,Sultana’s Dream,"A meeting of a number of wise ladies was held at the Queens palace to advise as
to what should be done to save the land",368,Queen,person
48,Rokheya Shekhawat Hossein,Sultana’s Dream,"Sultanaâ€™s Dream

Page No  10

If you cannot save your country for lack of physical strength said the Queen try to do so by brain power",371,Queen,person
49,Rokheya Shekhawat Hossein,Sultana’s Dream,The Queen thanked them heartily and asked the Lady Principal to try her plan,377,Queen,person
50,Rokheya Shekhawat Hossein,Sultana’s Dream,On the following day the Queen called upon all men to retire into zenanas for the sake of honour and liberty,381,Queen,person
51,Rokheya Shekhawat Hossein,Sultana’s Dream,Some of the police commissioners and district magistrates sent word to the Queen to the effect that the military officers certainly deserved to be imprisoned for their failure but they never neglected their duty and therefore they should not be punished and they prayed to be restored to their respective offices,393,Queen,person
52,Rokheya Shekhawat Hossein,Sultana’s Dream,"But how do you manage I asked Sister Sara to do without the police or
magistrates in case of theft or murder",396,Sister Sara,person
53,Rokheya Shekhawat Hossein,Sultana’s Dream,Our noble Queen is exceedingly fond of botany it is her ambition to convert the whole country into one grand garden,418,Queen,person
54,Rokheya Shekhawat Hossein,Sultana’s Dream,Our religion is based on Love and Truth,432,Love,location
55,Rokheya Shekhawat Hossein,Sultana’s Dream,I should like to see the good Queen who is so sagacious and farsighted and who has made all these rules,446,Queen,person
56,Rokheya Shekhawat Hossein,Sultana’s Dream,All right said Sister Sara,447,Sister Sara,person
57,Rokheya Shekhawat Hossein,Sultana’s Dream,"And before I could realize that we had
commenced moving we reached the garden of the Queen",455,Queen,person
58,Rokheya Shekhawat Hossein,Sultana’s Dream,"I had seen from the aircar the Queen walking on a garden path with her little
daughter who was four years old and her maids of honour",457,Queen,person
59,Rokheya Shekhawat Hossein,Sultana’s Dream,cried the Queen addressing Sister Sara,460,Sister Sara,person
60,Rokheya Shekhawat Hossein,Sultana’s Dream,cried the Queen addressing Sister Sara,460,Queen,person
61,Rokheya Shekhawat Hossein,Sultana’s Dream,"In the course of the
conversation I had with her the Queen told me that she had no objection to
permitting her subjects to trade with other countries",463,Queen,person
62,Rokheya Shekhawat Hossein,Sultana’s Dream,"After taking leave of the Queen I visited the famous universities and was shown
some of their manufactories laboratories and observatories",469,Queen,person
63,"Gilman, Charlotte Perkins",Herland,HERLAND  by Charlotte Perkins Stetson Gilman     CHAPTER 1,473,Charlotte,location
64,"Gilman, Charlotte Perkins",Herland,There were three of us classmates and friendsTerry O Nicholson we used to call him the Old Nick with good reason Jeff Margrave and I Vandyck Jennings,484,Nicholson,person
65,"Gilman, Charlotte Perkins",Herland,There were three of us classmates and friendsTerry O Nicholson we used to call him the Old Nick with good reason Jeff Margrave and I Vandyck Jennings,484,Jeff Margrave,person
66,"Gilman, Charlotte Perkins",Herland,There were three of us classmates and friendsTerry O Nicholson we used to call him the Old Nick with good reason Jeff Margrave and I Vandyck Jennings,484,Terry,person
67,"Gilman, Charlotte Perkins",Herland,There were three of us classmates and friendsTerry O Nicholson we used to call him the Old Nick with good reason Jeff Margrave and I Vandyck Jennings,484,Van,person
68,"Gilman, Charlotte Perkins",Herland,There were three of us classmates and friendsTerry O Nicholson we used to call him the Old Nick with good reason Jeff Margrave and I Vandyck Jennings,484,Terry,location
69,"Gilman, Charlotte Perkins",Herland,Terry was rich enough to do as he pleased,487,Terry,person
70,"Gilman, Charlotte Perkins",Herland,Terry was rich enough to do as he pleased,487,Terry,location
71,"Gilman, Charlotte Perkins",Herland,We never could have done the thing at all without Terry,492,Terry,person
72,"Gilman, Charlotte Perkins",Herland,We never could have done the thing at all without Terry,492,Terry,location
73,"Gilman, Charlotte Perkins",Herland,Jeff Margrave was born to be a poet a botanistor bothbut his folks persuaded him to be a doctor instead,493,Jeff Margrave,person
74,"Gilman, Charlotte Perkins",Herland,Terry was strong on factsgeography and meteorology and those Jeff could beat him any time on biology and I didnt care what it was they talked about so long as it connected with human life somehow,498,Terry,person
75,"Gilman, Charlotte Perkins",Herland,Terry was strong on factsgeography and meteorology and those Jeff could beat him any time on biology and I didnt care what it was they talked about so long as it connected with human life somehow,498,Terry,location
76,"Gilman, Charlotte Perkins",Herland,They needed a doctor and that gave Jeff an excuse for dropping his just opening practice they needed Terrys experience his machine and his money and as for me I got in through Terrys influence,501,Terry,person
77,"Gilman, Charlotte Perkins",Herland,They needed a doctor and that gave Jeff an excuse for dropping his just opening practice they needed Terrys experience his machine and his money and as for me I got in through Terrys influence,501,Terry,location
78,"Gilman, Charlotte Perkins",Herland,lue  Terry was close by and interested in the fellows pointing,527,Terry,person
79,"Gilman, Charlotte Perkins",Herland,lue  Terry was close by and interested in the fellows pointing,527,Terry,location
80,"Gilman, Charlotte Perkins",Herland,What does he say Van  I told him,528,Van,person
81,"Gilman, Charlotte Perkins",Herland,Terry blazed up at once,529,Terry,person
82,"Gilman, Charlotte Perkins",Herland,Terry blazed up at once,529,Terry,location
83,"Gilman, Charlotte Perkins",Herland,Lets go urged Terry,532,Terry,person
84,"Gilman, Charlotte Perkins",Herland,Lets go urged Terry,532,Terry,location
85,"Gilman, Charlotte Perkins",Herland,But there was one and I could see Terry with compass and notebook marking directions and trying to place landmarks,541,Terry,person
86,"Gilman, Charlotte Perkins",Herland,But there was one and I could see Terry with compass and notebook marking directions and trying to place landmarks,541,Terry,location
87,"Gilman, Charlotte Perkins",Herland,One of those long easterly spurs Terry said appraisingly,546,Terry,person
88,"Gilman, Charlotte Perkins",Herland,One of those long easterly spurs Terry said appraisingly,546,Terry,location
89,"Gilman, Charlotte Perkins",Herland,Thats snow water Terry announced,555,Terry,person
90,"Gilman, Charlotte Perkins",Herland,Thats snow water Terry announced,555,Terry,location
91,"Gilman, Charlotte Perkins",Herland,Terry got out his magnifying glass and squatted down to investigate,560,Terry,person
92,"Gilman, Charlotte Perkins",Herland,Terry got out his magnifying glass and squatted down to investigate,560,Terry,location
93,"Gilman, Charlotte Perkins",Herland,I could see Terrys jaw set at that,579,Terry,person
94,"Gilman, Charlotte Perkins",Herland,I could see Terrys jaw set at that,579,Terry,location
95,"Gilman, Charlotte Perkins",Herland,But Terry stopped in his tracks,585,Terry,person
96,"Gilman, Charlotte Perkins",Herland,But Terry stopped in his tracks,585,Terry,location
97,"Gilman, Charlotte Perkins",Herland,That would mean a considerable civilization Van,595,Van,person
98,"Gilman, Charlotte Perkins",Herland,We discussed it after that still only among ourselves while Terry wa,603,Terry,person
99,"Gilman, Charlotte Perkins",Herland,We discussed it after that still only among ourselves while Terry wa,603,Terry,location
100,"Gilman, Charlotte Perkins",Herland,But T O Nicholson could fix up his big steam yacht load his speciallymade big motorboat aboard and tuck in a dissembled biplane without any more notice than a snip in the society column,607,Nicholson,person
101,"Gilman, Charlotte Perkins",Herland,Those natives cant get into it or hurt it or move it Terry explained proudly,614,Terry,person
102,"Gilman, Charlotte Perkins",Herland,Those natives cant get into it or hurt it or move it Terry explained proudly,614,Terry,location
103,"Gilman, Charlotte Perkins",Herland,You dont need to go if you dont want to Terry remarked drily,620,Terry,person
104,"Gilman, Charlotte Perkins",Herland,You dont need to go if you dont want to Terry remarked drily,620,Terry,location
105,"Gilman, Charlotte Perkins",Herland,Well leave papers with our consul where the yacht stays Terry planned,628,Terry,person
106,"Gilman, Charlotte Perkins",Herland,Well leave papers with our consul where the yacht stays Terry planned,628,Terry,location
107,"Gilman, Charlotte Perkins",Herland,Youre right Terry,635,Terry,person
108,"Gilman, Charlotte Perkins",Herland,Youre right Terry,635,Terry,location
109,"Gilman, Charlotte Perkins",Herland,What headlines  Not much said Terry grimly,640,Terry,person
110,"Gilman, Charlotte Perkins",Herland,What headlines  Not much said Terry grimly,640,Terry,location
111,"Gilman, Charlotte Perkins",Herland,And Terry in his secret heart had visions of a sort of sublimated summer resortjust Girls and Girls and Girlsand that he was going to bewell Terry was popular among women even when there were other men around and its not to be wondered at that he had pleasant dreams of what might happen,646,Terry,person
112,"Gilman, Charlotte Perkins",Herland,And Terry in his secret heart had visions of a sort of sublimated summer resortjust Girls and Girls and Girlsand that he was going to bewell Terry was popular among women even when there were other men around and its not to be wondered at that he had pleasant dreams of what might happen,646,Terry,location
113,"Gilman, Charlotte Perkins",Herland,Oh the men take them away as soon as they are five or six you see  And how about this danger theory all our guides were so sure of  Danger enough Terry and well have to be mighty careful,656,Terry,person
114,"Gilman, Charlotte Perkins",Herland,Oh the men take them away as soon as they are five or six you see  And how about this danger theory all our guides were so sure of  Danger enough Terry and well have to be mighty careful,656,Terry,location
115,"Gilman, Charlotte Perkins",Herland,They would fight among themselves Terry insisted,665,Terry,person
116,"Gilman, Charlotte Perkins",Herland,They would fight among themselves Terry insisted,665,Terry,location
117,"Gilman, Charlotte Perkins",Herland,No sirtheyll scrap agreed Terry,674,Terry,person
118,"Gilman, Charlotte Perkins",Herland,No sirtheyll scrap agreed Terry,674,Terry,location
119,"Gilman, Charlotte Perkins",Herland,We joked Terry about his modest impression that he would be warmly received but he held his ground,680,Terry,person
120,"Gilman, Charlotte Perkins",Herland,We joked Terry about his modest impression that he would be warmly received but he held his ground,680,Terry,location
121,"Gilman, Charlotte Perkins",Herland,Solomon will have to take a back seat  Where do we come in on that deal,684,Solomon,person
122,"Gilman, Charlotte Perkins",Herland,And thered be two of us and only one of youeh Van  Jeffs ideas and Terrys were so far apart that sometimes it was all I could do to keep the peace between them,691,Terry,person
123,"Gilman, Charlotte Perkins",Herland,And thered be two of us and only one of youeh Van  Jeffs ideas and Terrys were so far apart that sometimes it was all I could do to keep the peace between them,691,Van,person
124,"Gilman, Charlotte Perkins",Herland,And thered be two of us and only one of youeh Van  Jeffs ideas and Terrys were so far apart that sometimes it was all I could do to keep the peace between them,691,Terry,location
125,"Gilman, Charlotte Perkins",Herland,You might say Terry did too if you can call his views about women anything so polite as ideals,695,Terry,person
126,"Gilman, Charlotte Perkins",Herland,You might say Terry did too if you can call his views about women anything so polite as ideals,695,Terry,location
127,"Gilman, Charlotte Perkins",Herland,I always liked Terry,696,Terry,person
128,"Gilman, Charlotte Perkins",Herland,I always liked Terry,696,Terry,location
129,"Gilman, Charlotte Perkins",Herland,But Terry was the limit,699,Terry,person
130,"Gilman, Charlotte Perkins",Herland,But Terry was the limit,699,Terry,location
131,"Gilman, Charlotte Perkins",Herland,But barring a possible exception in favor of a not impossible wife or of his mother or of course the fair relatives of his friends Terrys idea seemed to be that pretty women were just so much game and homely ones not worth considering,701,Terry,person
132,"Gilman, Charlotte Perkins",Herland,But barring a possible exception in favor of a not impossible wife or of his mother or of course the fair relatives of his friends Terrys idea seemed to be that pretty women were just so much game and homely ones not worth considering,701,Terry,location
133,"Gilman, Charlotte Perkins",Herland,Terry dismissed the plan sharply,711,Terry,person
134,"Gilman, Charlotte Perkins",Herland,Terry dismissed the plan sharply,711,Terry,location
135,"Gilman, Charlotte Perkins",Herland,Theres sense in that Terry agreed,728,Terry,person
136,"Gilman, Charlotte Perkins",Herland,Theres sense in that Terry agreed,728,Terry,location
137,"Gilman, Charlotte Perkins",Herland,Terry was studying the forest growth,743,Terry,person
138,"Gilman, Charlotte Perkins",Herland,Terry was studying the forest growth,743,Terry,location
139,"Gilman, Charlotte Perkins",Herland,Mighty lucky piece of land I call it Terry pursued,749,Terry,person
140,"Gilman, Charlotte Perkins",Herland,Mighty lucky piece of land I call it Terry pursued,749,Terry,location
141,"Gilman, Charlotte Perkins",Herland,I dont see any cattle I suggested but Terry was silent,753,Terry,person
142,"Gilman, Charlotte Perkins",Herland,I dont see any cattle I suggested but Terry was silent,753,Terry,location
143,"Gilman, Charlotte Perkins",Herland,We had our glasses out even Terry setting his machine for a spiral glide clapped the binoculars to his eyes,756,Terry,person
144,"Gilman, Charlotte Perkins",Herland,We had our glasses out even Terry setting his machine for a spiral glide clapped the binoculars to his eyes,756,Terry,location
145,"Gilman, Charlotte Perkins",Herland,Gosh said Terry after a while,760,Terry,person
146,"Gilman, Charlotte Perkins",Herland,Gosh said Terry after a while,760,Terry,location
147,"Gilman, Charlotte Perkins",Herland,Of course there are men said Terry,765,Terry,person
148,"Gilman, Charlotte Perkins",Herland,Of course there are men said Terry,765,Terry,location
149,"Gilman, Charlotte Perkins",Herland,Come on cried Terry pushing forward,776,Terry,person
150,"Gilman, Charlotte Perkins",Herland,Come on cried Terry pushing forward,776,Terry,location
151,"Gilman, Charlotte Perkins",Herland,Here goes for Herland     CHAPTER 2 Rash Advances   Not more than ten or fifteen miles we judged it from our landing rock to that last village,778,Herland,location
152,"Gilman, Charlotte Perkins",Herland,Even Terrys ardor was held in check by his firm conviction that there were men to be met and we saw to it that each of us had a good stock of cartridges,780,Terry,person
153,"Gilman, Charlotte Perkins",Herland,Even Terrys ardor was held in check by his firm conviction that there were men to be met and we saw to it that each of us had a good stock of cartridges,780,Terry,location
154,"Gilman, Charlotte Perkins",Herland,Terry studied it as we progressed,786,Terry,person
155,"Gilman, Charlotte Perkins",Herland,Terry studied it as we progressed,786,Terry,location
156,"Gilman, Charlotte Perkins",Herland,I never saw a forest so petted even in Germany,788,Germany,location
157,"Gilman, Charlotte Perkins",Herland,They dont kill birds and apparently they do kill cats Terry declared,803,Terry,person
158,"Gilman, Charlotte Perkins",Herland,They dont kill birds and apparently they do kill cats Terry declared,803,Terry,location
159,"Gilman, Charlotte Perkins",Herland,It couldnt have been far off said Terry excitedly,807,Terry,person
160,"Gilman, Charlotte Perkins",Herland,It couldnt have been far off said Terry excitedly,807,Terry,location
161,"Gilman, Charlotte Perkins",Herland,Look out for a poisoned arrow in your eye I suggested but Terry pressed forward sprang up on the seatback and grasped the trunk,815,Terry,person
162,"Gilman, Charlotte Perkins",Herland,Look out for a poisoned arrow in your eye I suggested but Terry pressed forward sprang up on the seatback and grasped the trunk,815,Terry,location
163,"Gilman, Charlotte Perkins",Herland,added Terry scarcely louder,829,Terry,person
164,"Gilman, Charlotte Perkins",Herland,added Terry scarcely louder,829,Terry,location
165,"Gilman, Charlotte Perkins",Herland,Then Terry wholly in his element made a polite speech with explanatory gestures and proceeded to introduce us with pointing finger,837,Terry,person
166,"Gilman, Charlotte Perkins",Herland,Then Terry wholly in his element made a polite speech with explanatory gestures and proceeded to introduce us with pointing finger,837,Terry,location
167,"Gilman, Charlotte Perkins",Herland,Jeff Margrave he said clearly Jeff bowed as gracefully as a man could in the fork of a great limb,839,Jeff Margrave,person
168,"Gilman, Charlotte Perkins",Herland,Vandyck JenningsI also tried to make an effective salute and nearly lost my balance,841,Van,person
169,"Gilman, Charlotte Perkins",Herland,Then Terry laid his hand upon his chesta fine chest he had too and introduced himself he was braced carefully for the occasion and achieved an excellent obeisance,842,Terry,person
170,"Gilman, Charlotte Perkins",Herland,Then Terry laid his hand upon his chesta fine chest he had too and introduced himself he was braced carefully for the occasion and achieved an excellent obeisance,842,Terry,location
171,"Gilman, Charlotte Perkins",Herland,Celis she said distinctly pointing to the one in blue Alimathe one in rose then with a vivid imitation of Terrys impressive manner she laid a firm delicate hand on her goldgreen jerkinEllador,844,Terry,person
172,"Gilman, Charlotte Perkins",Herland,Celis she said distinctly pointing to the one in blue Alimathe one in rose then with a vivid imitation of Terrys impressive manner she laid a firm delicate hand on her goldgreen jerkinEllador,844,Terry,location
173,"Gilman, Charlotte Perkins",Herland,Celis she said distinctly pointing to the one in blue Alimathe one in rose then with a vivid imitation of Terrys impressive manner she laid a firm delicate hand on her goldgreen jerkinEllador,844,Celis,location
174,"Gilman, Charlotte Perkins",Herland,Celis she said distinctly pointing to the one in blue Alimathe one in rose then with a vivid imitation of Terrys impressive manner she laid a firm delicate hand on her goldgreen jerkinEllador,844,Ellador,person
175,"Gilman, Charlotte Perkins",Herland,Celis she said distinctly pointing to the one in blue Alimathe one in rose then with a vivid imitation of Terrys impressive manner she laid a firm delicate hand on her goldgreen jerkinEllador,844,Ellador,location
176,"Gilman, Charlotte Perkins",Herland,We cant sit here and learn the language Terry protested,846,Terry,person
177,"Gilman, Charlotte Perkins",Herland,We cant sit here and learn the language Terry protested,846,Terry,location
178,"Gilman, Charlotte Perkins",Herland,Then Ellador cle,849,Ellador,person
179,"Gilman, Charlotte Perkins",Herland,Then Ellador cle,849,Ellador,location
180,"Gilman, Charlotte Perkins",Herland,Have to use bait grinned Terry,851,Terry,person
181,"Gilman, Charlotte Perkins",Herland,Have to use bait grinned Terry,851,Terry,location
182,"Gilman, Charlotte Perkins",Herland,Terrys smile was irreproachable but I did not like the look in his eyesit was like a creature about to spring,863,Terry,person
183,"Gilman, Charlotte Perkins",Herland,Terrys smile was irreproachable but I did not like the look in his eyesit was like a creature about to spring,863,Terry,location
184,"Gilman, Charlotte Perkins",Herland,No use gasped Terry,870,Terry,person
185,"Gilman, Charlotte Perkins",Herland,No use gasped Terry,870,Terry,location
186,"Gilman, Charlotte Perkins",Herland,But it was no use grumbling and Terry refused to admit any mistake,878,Terry,person
187,"Gilman, Charlotte Perkins",Herland,But it was no use grumbling and Terry refused to admit any mistake,878,Terry,location
188,"Gilman, Charlotte Perkins",Herland,Terry watched them we all did for that matter till they disappeared among the houses,892,Terry,person
189,"Gilman, Charlotte Perkins",Herland,Terry watched them we all did for that matter till they disappeared among the houses,892,Terry,location
190,"Gilman, Charlotte Perkins",Herland,Mother of Mike boyswhat Gorgeous Girls,894,Mike,person
191,"Gilman, Charlotte Perkins",Herland,Nothing venture nothing have I suggested but Terry preferred Faint heart neer won fair lady,898,Terry,person
192,"Gilman, Charlotte Perkins",Herland,Nothing venture nothing have I suggested but Terry preferred Faint heart neer won fair lady,898,Terry,location
193,"Gilman, Charlotte Perkins",Herland,If there are any men wed better keep an eye out I suggested but Jeff seemed lost in heavenly dreams and Terry in highly practical plans,900,Terry,person
194,"Gilman, Charlotte Perkins",Herland,If there are any men wed better keep an eye out I suggested but Jeff seemed lost in heavenly dreams and Terry in highly practical plans,900,Terry,location
195,"Gilman, Charlotte Perkins",Herland,The road was some sort of hard manufactured stuff sloped slightly to shed rain with every curve and grade and gutter as perfect as if it were Europes best,905,Europe,location
196,"Gilman, Charlotte Perkins",Herland,No men eh sneered Terry,906,Terry,person
197,"Gilman, Charlotte Perkins",Herland,No men eh sneered Terry,906,Terry,location
198,"Gilman, Charlotte Perkins",Herland,Wed better import some of these ladies and set em to parking the United States I suggest,908,United States,location
199,"Gilman, Charlotte Perkins",Herland,Wed better import some of these ladies and set em to parking the United States I suggest,908,State,location
200,"Gilman, Charlotte Perkins",Herland,Theyve got architects and landscape gardeners in plenty thats sure agreed Terry,917,Terry,person
201,"Gilman, Charlotte Perkins",Herland,Theyve got architects and landscape gardeners in plenty thats sure agreed Terry,917,Terry,location
202,"Gilman, Charlotte Perkins",Herland,You see I come from California and theres no country lovelier but when it comes to towns,919,California,location
203,"Gilman, Charlotte Perkins",Herland,Those big white ones are public buildings evidently Terry declared,923,Terry,person
204,"Gilman, Charlotte Perkins",Herland,Those big white ones are public buildings evidently Terry declared,923,Terry,location
205,"Gilman, Charlotte Perkins",Herland,Theres no noise I offered but Terry snubbed meThats because they are laying low for us wed better be careful how we go in there,935,Terry,person
206,"Gilman, Charlotte Perkins",Herland,Theres no noise I offered but Terry snubbed meThats because they are laying low for us wed better be careful how we go in there,935,Terry,location
207,"Gilman, Charlotte Perkins",Herland,But Terry showed no such consciousness,950,Terry,person
208,"Gilman, Charlotte Perkins",Herland,But Terry showed no such consciousness,950,Terry,location
209,"Gilman, Charlotte Perkins",Herland,Id as soon shoot my aunts muttered Terry again,956,Terry,person
210,"Gilman, Charlotte Perkins",Herland,Id as soon shoot my aunts muttered Terry again,956,Terry,location
211,"Gilman, Charlotte Perkins",Herland,Terry had come armed with a theory,960,Terry,person
212,"Gilman, Charlotte Perkins",Herland,Terry had come armed with a theory,960,Terry,location
213,"Gilman, Charlotte Perkins",Herland,This wont do said Terry to us quickly,981,Terry,person
214,"Gilman, Charlotte Perkins",Herland,This wont do said Terry to us quickly,981,Terry,location
215,"Gilman, Charlotte Perkins",Herland,Terry with his clear decided practical theories that there were two kinds of womenthose he wanted and those he didnt Desirable and Undesirable was his demarcation,988,Terry,person
216,"Gilman, Charlotte Perkins",Herland,Terry with his clear decided practical theories that there were two kinds of womenthose he wanted and those he didnt Desirable and Undesirable was his demarcation,988,Terry,location
217,"Gilman, Charlotte Perkins",Herland,I never fought with women in my life said Terry greatly perturbed but Im not going in there,1002,Terry,person
218,"Gilman, Charlotte Perkins",Herland,I never fought with women in my life said Terry greatly perturbed but Im not going in there,1002,Terry,location
219,"Gilman, Charlotte Perkins",Herland,Terrys term of a vigilance committee was highly descriptive,1012,Terry,person
220,"Gilman, Charlotte Perkins",Herland,Terrys term of a vigilance committee was highly descriptive,1012,Terry,location
221,"Gilman, Charlotte Perkins",Herland,Weve got to decide quick said Terry,1020,Terry,person
222,"Gilman, Charlotte Perkins",Herland,Weve got to decide quick said Terry,1020,Terry,location
223,"Gilman, Charlotte Perkins",Herland,Now for a rush boys Terry said,1026,Terry,person
224,"Gilman, Charlotte Perkins",Herland,Now for a rush boys Terry said,1026,Terry,location
225,"Gilman, Charlotte Perkins",Herland,Then we found ourselves much in the position of the suffragette trying to get to the Parliament buildings through a triple cordon of London police,1028,London,location
