,author,title,type,start,end,kind,words
529,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4772,4909,NA,Truly said the Spirits Plastick power is a hard word  signifies no more then the power of the corporeal figurative motions of Nature
976,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,4772,4776,person,Truly
1029,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,4903,4908,location,Nature
530,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,4911,5057,NA,After this the Empress desired the Spirits to inform her where the Paradise was Whether it was in the midst of the World as a Centre of pleasure
357,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,4916,4922,location,Icy Sea
531,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5059,5227,NA,or Whether it was the whole World or a peculiar World by it self as a World of Life and not of Matter or whether it was mixt as a world of living animal Creatures
27,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5205,7081,NA,Those few men which were in it not knowing whither they went nor what was to be done in so strange an Adventure and not being provided for so cold a Voyage were all frozen to death the young Lady onely by the light of her Beauty the heat of her Youth and Protection of the Gods remaining alive Neither was it a wonder that the men did freeze to death for they were not onely driven to the very end or point of the Pole of that World but even to another Pole of another World which joined close to it so that the cold having a double strength at the conjunction of those two Poles was insupportable At last the Boat still passing on was forced into another World for it is impossible to round this Worlds Globe from Pole to Pole so as we do from East to West because the Poles of the other World joining to the Poles of this do not allow any further passage to surround the World that way but if any one arrives to either of these Poles he is either forced to return or to enter into another World and lest you should scruple at it and think if it were thus those that live at the Poles would either see two Suns at one time or else they would never want the Suns light for six months together as it is commonly believed You must know that each of these Worlds having its own Sun to enlighten it they move each one in their peculiar Circles which motion is so just and exact that neither can hinder or obstruct the other for they do not exceed their Tropicks and although they should meet yet we in this World cannot so well perceive them by reason of the brightness of our Sun which being nearer to us obstructs the splendor of the Sun of the other World they being too far off to be discerned by our optick perception except we use very good Telescopes by which skilful Astronomers have often observed two or three Suns at once
532,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5229,5460,NA,They answered That Paradise was not in the world she came from but in that world she lived in at present and that it was the very same place where she kept her Court and where her Palace stood in the midst of the Imperial City
977,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,5249,5256,person,Paradise
533,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5462,5563,NA,The Empress asked further Whether in the beginning and Creation of the World all Beasts could speak
534,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5565,5756,NA,They answered That no Beasts could speak but onely those sorts of Creatures which were Fishmen Bearmen Wormmen and the like which could speak in the first Age as well as they do now
535,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5758,5902,NA,she asked again Whether they were none of those Spirits that frighted Adam out of the Paradise at least caused him not to return thither again
536,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5904,5933,NA,They an swered they were not
537,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,5935,6024,NA,Then she desired to be informed whither Adam fled when he was driven out of the Paradise
358,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,5970,5973,location,East
359,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,5978,5981,location,West
538,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,6026,6108,NA,Out of this World said they you are now Empress of into the World you came from
539,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,6110,6419,NA,If this be so replied the Empress then surely those Cabbalists are much out of their story who believe the Paradise to be a world of Life onely without Matter for this world though it be most pleasant and fruitful yet it is not a world of meer Immaterial life but a world of living Material Creatures
360,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,6394,6396,location,Sun
540,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,6421,6501,NA,Without question they are answered the Spirits for not all Cabbalas are true
541,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,6503,6729,NA,Then the Empress asked That since it is mentioned in the story of the Creation of the World that Eve was tempted by the Serpent Whether the Devil was within the Serpent or Whether the Serpent tempted her without the Devil
1030,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,6646,6650,location,Devil
1031,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,6724,6728,location,Devil
542,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,6731,6783,NA,They answered That the Devil was within the Serpent
1032,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,6755,6759,location,Devil
543,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,6785,6847,NA,But how came it then replied she that the Serpent was cursed
544,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,6849,7019,NA,They answered because the Devil was in him for are not those men in danger of damnation which have the Devil within them who perswades them to believe and act wickedly
1033,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,6876,6880,location,Devil
1034,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,6954,6958,location,Devil
545,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7021,7090,NA,The Empress asked further Whether Light and the Heavens were all one
28,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7083,8172,NA,But to return to the wandering Boat and the distressed Lady she seeing all the Men dead found small comfort in life their Bodies which were preserved all that while from putrefaction and stench by the extremity of cold began now to thaw and corrupt whereupon she having not strength enough to fling them overboard was forced to remove out of her small Cabine upon the deck to avoid the nauseous smell and finding the Boat swim between two plains of Ice as a stream that runs betwixt two shores at last perceived land but covered all with Snow from which came walking upon the Ice strange Creatures in shape like Bears only they went upright as men those Creatures coming near the Boat catched hold of it with their Paws that served them instead of hands some two or three of them entred first and when they came out the rest went in one after another at last having viewed and observed all that was in the Boat they spake to each other in a language which the Lady did not understand and having carried her out of the Boat sunk it together with the dead men
546,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7092,7351,NA,They answered That that Region which contains the Lucid natural Orbs was by Mortals named Heaven but the Beatifical Heaven which is the Habitation of the Blessed Angels and Souls was so far beyond it that it could not be compared to any Natural Creature
1035,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,7143,7147,location,Lucid
547,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7353,7419,NA,Then the Empress asked them Whether all Matter was fluid at first
548,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7421,7548,NA,They answered That Matter was always as it is and that some parts of Matter were rare some dense some fluid some solid c
549,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7550,7605,NA,Neither was God bound to make all Matter fluid at first
550,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7607,7665,NA,she asked further Whether Matter was immovable in it self
551,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7667,7865,NA,We have answered you before said they That there is no motion but in Matter and were it not for the motion of Matter we Spirits could not move nor give you any answer to your several questions
552,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,7867,8046,NA,After this the Empress asked the Spirits Whether the Universe was made within the space of six days or Whether by those six days were meant so many Decrees or Commands of God
553,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,8048,8233,NA,They answered her That the World was made by the Allpowerful Decree and Command of God but whether there were six Decrees or Commands or fewer or more no Creature was able to tell
29,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,8175,11649,NA,The Lady now finding her self in so strange a place and amongst such wonderful kind of Creatures was extreamly strucken with fear and could entertain no other Thoughts but that every moment her life was to be a sacrifice to their cruelty but those Bearlike Creatures how terrible soever they appeard to her sight yet were they so far from exercising any cruelty upon her that rather they shewed her all civility and kindness imaginable for she being not able to go upon the Ice by reason of its slipperiness they took her up in their rough arms and carried her into their City where instead of Houses they had Caves under ground and as soon as they enterd the City both Males and Females young and old flockt together to see this Lady holding up their Paws in admiration at last having brought her into a certain large and spacious Cave which they intended for her reception they left her to the custody of the Females who entertained her with all kindness and respect and gave her such victuals as they used to eat but seeing her Constitution neither agreed with the temper of that Climate nor their Diet they were resolved to carry her into another Island of a warmer temper in which were men like Foxes onely walking in an upright shape who received their neighbours the Bearmen with great civility and Courtship very much admiring this beauteous Lady and having discoursed some while together agreed at last to make her a Present to the Emperor of their World to which end after she had made some short stay in the same place they brought her cross that Island to a large River whose stream run smooth and clear like Chrystal in which were numerous Boats much like our Foxtraps in one whereof she was carried some of the Bear and Foxmen waiting on her and as soon as they had crossed the River they came into an Island where there were Men which had heads beaks and feathers like wildGeese onely they went in an upright shape like the Bearmen and Foxmen their rumps they carried between their legs their wings were of the same length with their Bodies and their tails of an indifferent size trailing after them like a Ladies Garment and after the Bear and Foxmen had declared their intention and design to their Neighbours the Geese or Birdmen some of them joined to the rest and attended the Lady through that Island till they came to another great and large River where there was a preparation made of many Boats much like Birds nests onely of a bigger size and having crost that River they arrived into another Island which was of a pleasant and mild temper full of Woods and the Inhabitants thereof were Satyrs who received both the Bear Fox and Bird men with all respect and civility and after some conferences for they all understood each others language some chief of the Satyrs joining to them accompanied the Lady out of that Island to another River wherein were many handsome and commodious Barges and having crost that River they entered into a large and spacious Kingdom the men whereof were of a GrassGreen Complexion who entertained them very kindly and provided all conveniences for their further voyage hitherto they had onely crost Rivers but now they could not avoid the open Seas any longer wherefore they made their Ships and tacklings ready to sail over into the Island where the Emperor of the Blazing world for so it was calld kept his residence
554,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,8236,8294,NA,Then she inquired Whether there was no mystery in Numbers
555,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,8296,8405,NA,No other mystery answered the Spirits but reckoning or counting for Numbers are onely marks of remembrance
556,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,8407,8613,NA,But what do you think of the Number of Four said she which Cabbalists make such ado withal and of the Number of Ten when they say that Ten is all and that all Numbers are virtually comprehended in Four
557,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,8615,8975,NA,We think answered they that Cabbalists have nothing else to do but to trouble their heads with such useless Fancies for naturally there is no such thing as prime or all in Numbers nor is there any other mystery in Numbers but what Mans fancy makes but what Men call Prime or All we do not know because they do not agree in the number of their opinion
558,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,8977,9116,NA,Then the Empress asked Whether the number of six was a symbole of Matrimony as being made up of Male and Femal for two into three is six
303,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,9030,9033,person,Cave
559,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,9118,9303,NA,If any number can be a symbole of Matrimony answered the Spirits it is not Six but Two if two may be allowed to be a Number for the act of Matrimony is made up of two joined in one
560,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,9305,9359,NA,she asked again What they said to the number of Seven
561,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,9361,9479,NA,whether it was not an Embleme of God because Cabbalists say That it is neither begotten nor begets any other Number
562,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,9481,9603,NA,There can be no Embleme of God answered the Spirits for if we do not know what God is how can we make an Embleme of him
563,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,9605,9828,NA,Nor is there any Number in God for God is the perfection Himself but Numbers are imperfect and as for the begetting of numbers it is done by Multiplication and Addition but Substraction is as a kind of death to Numbers
361,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,9791,9795,location,River
564,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,9830,9978,NA,If there be no mystery in Numbers replied the Empress then it is in vain to refer to the Creation of the World to certain Numbers as Cabbalists do
565,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,9980,10113,NA,The onely mystery of Numbers answered they concerning the Creation of the World is that as Numbers do multiply so does the World
362,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,10017,10021,location,River
566,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,10115,10162,NA,The Empress asked how far Numbers did multiply
567,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,10164,10197,NA,The Spirits answered to Infinite
568,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,10199,10254,NA,Why said she Infinite cannot be reckoned nor numbred
569,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,10256,10467,NA,No more answered they can the parts of the Universe for Gods Creation being an Infinite action as proceeding from an Infinite Power could not rest upon a finite Number of Creatures were it never so great
570,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,10469,10642,NA,But leaving the mystery of Numbers proceeded the Empress Let me now desire you to inform me Whether the Suns and Planets were generated by the Heavens or Æthereal Matter
363,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,10611,10615,location,River
571,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",sentence,10644,11216,NA,The Spirits answered That the Stars and Planets were of the same matter which the Heavens the Æther and all other Natural Creatures did consist of but whether they were generated by the Heavens or Æther they could not tell if they be said they they are not like their Parents for the Sun Stars and Planets are more splendorous then the Æther as also more solid and constant in their motions But put the case the Stars and Planets were generated by the Heavens and the Æthereal Matter the question then would be Out of what these are generated or produced
364,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,10737,10741,location,River
365,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,10770,10775,location,Island
366,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,10827,10831,location,Woods
1036,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,10937,10939,location,Sun
978,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,11081,11087,person,Planets
367,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,11119,11123,location,River
368,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",entity,11198,11202,location,River
